start,end,word,alignment_score,probability,speaker
0.0,0.203,¿Qué,0.5400,0.8424,SPEAKER_00
0.223,0.305,te,0.1460,0.9827,SPEAKER_00
0.345,0.691,producía,0.6430,0.9647,SPEAKER_00
0.731,0.752,a,0.0050,0.9723,SPEAKER_00
0.772,1.117,ti,0.7940,0.9766,SPEAKER_00
1.26,1.341,y,0.6820,0.8480,SPEAKER_00
1.361,1.402,a,0.7070,0.9764,SPEAKER_00
1.483,1.768,Michael,0.1320,0.7872,SPEAKER_00
1.788,2.032,Townley,0.4940,0.6146,SPEAKER_00
2.093,2.154,el,0.9490,0.9282,SPEAKER_00
2.215,2.418,hecho,0.8080,0.9971,SPEAKER_00
2.438,2.499,de,0.5080,0.9894,SPEAKER_00
2.519,2.58,que,0.3330,0.9393,SPEAKER_00
3.28,3.906,tener,0.5230,0.3660,SPEAKER_00
3.946,3.987,un,0.9730,0.9798,SPEAKER_00
4.027,4.209,hijo,0.9540,0.9993,SPEAKER_00
4.249,4.37,de,0.7220,0.9928,SPEAKER_00
4.512,5.016,militancia,0.8690,0.9966,SPEAKER_00
5.037,5.057,o,0.9680,0.5366,SPEAKER_00
5.077,5.117,de,0.4830,0.4753,SPEAKER_00
6.753,6.834,que,0.3840,0.6173,SPEAKER_00
6.854,6.934,era,0.7140,0.9055,SPEAKER_00
6.975,7.54,simpatizante,0.6170,0.9988,SPEAKER_00
7.52,8.376,Cosa,0.8280,0.5287,SPEAKER_01
8.397,8.438,de,0.0000,0.9778,SPEAKER_01
8.459,8.501,él,0.4910,0.9381,SPEAKER_01
8.48,9.561,de,0.5570,0.3783,SPEAKER_00
9.581,9.622,la,0.8760,0.9826,SPEAKER_00
9.683,10.172,izquierda,0.9230,0.9948,SPEAKER_00
10.397,10.6,socialista,0.1000,0.9662,SPEAKER_00
10.58,11.186,Cosa,0.4880,0.6305,SPEAKER_00
11.207,11.312,de,0.6890,0.9943,SPEAKER_00
11.333,11.395,"él,",0.0080,0.9982,SPEAKER_00
11.416,11.458,yo,0.0000,0.9489,SPEAKER_00
