start,end,word,alignment_score,probability,speaker
1.9,2.866,que,0.8280,0.5966,SPEAKER_04
2.967,3.088,ha,0.7500,0.9997,SPEAKER_04
3.188,3.953,planteado,0.8600,0.9999,SPEAKER_04
3.994,4.034,la,0.5000,0.9999,SPEAKER_04
6.57,7.174,candidatura,0.8410,0.9998,SPEAKER_04
7.255,7.577,de,0.9820,1.0000,SPEAKER_04
7.657,7.979,Vargas,0.8000,0.9995,SPEAKER_04
7.999,8.12,Llosa.,0.1690,0.9950,SPEAKER_04
9.44,9.662,Yo,0.3700,0.9997,SPEAKER_04
9.682,9.783,soy,0.7690,0.9991,SPEAKER_04
9.904,10.288,convencido,0.9470,0.9989,SPEAKER_04
10.369,10.429,que,0.6130,0.9137,SPEAKER_04
10.51,10.55,la,0.5040,1.0000,SPEAKER_04
10.591,11.216,democracia,0.6760,0.9999,SPEAKER_04
11.459,11.721,pasa,0.9430,0.9998,SPEAKER_04
11.761,11.862,por,0.9750,1.0000,SPEAKER_04
11.903,11.963,la,0.4540,1.0000,SPEAKER_04
12.044,12.589,"retórica,",0.9820,0.9999,SPEAKER_04
12.69,12.791,así,0.8410,1.0000,SPEAKER_04
12.892,12.993,fue,0.5780,0.9999,SPEAKER_04
13.013,13.154,desde,0.5880,0.9978,SPEAKER_04
13.215,13.336,sus,0.8290,0.9999,SPEAKER_04
13.416,13.82,"orígenes,",0.6130,0.9999,SPEAKER_04
13.88,15.107,y,0.9320,1.0000,SPEAKER_04
15.127,15.449,quien,0.7530,0.9940,SPEAKER_04
15.791,15.892,no,0.9860,1.0000,SPEAKER_04
15.973,16.355,logra,0.9480,1.0000,SPEAKER_04
16.395,17.502,persuadir,0.7980,0.9999,SPEAKER_04
18.588,18.649,en,0.9820,0.9999,SPEAKER_04
18.709,19.111,democracia,0.9880,1.0000,SPEAKER_04
19.152,19.373,tiene,0.7560,0.9937,SPEAKER_04
19.433,19.554,muy,0.8150,1.0000,SPEAKER_04
19.635,19.876,poco,0.8100,0.9981,SPEAKER_04
20.097,20.178,que,0.6800,0.9992,SPEAKER_04
20.278,20.56,hacer.,0.4560,0.9999,SPEAKER_04
20.76,21.063,Por,0.7750,0.9999,SPEAKER_04
21.104,21.346,supuesto,0.9600,1.0000,SPEAKER_04
21.386,21.488,la,0.6240,0.5106,SPEAKER_04
21.508,21.872,persuasión,0.6680,0.9994,SPEAKER_04
21.952,22.336,moderna,0.9530,0.9999,SPEAKER_04
22.357,22.862,requiere,0.5630,0.9999,SPEAKER_04
23.064,23.428,técnica,0.9240,0.9392,SPEAKER_04
24.337,24.64,"moderna,",0.3120,0.9999,SPEAKER_04
24.62,25.625,pero,0.7920,0.3414,SPEAKER_04
25.706,25.806,el,0.7920,0.9992,SPEAKER_04
25.907,26.369,mecanismo,0.9410,0.9999,SPEAKER_04
26.409,26.691,es,0.9100,0.9988,SPEAKER_04
26.731,26.811,el,0.9540,0.9998,SPEAKER_04
26.892,27.233,"mismo,",0.9930,0.9997,SPEAKER_04
27.837,27.877,y,0.7900,0.9989,SPEAKER_04
27.957,28.138,creo,0.9420,0.9998,SPEAKER_04
28.239,28.379,yo,0.6960,0.9999,SPEAKER_04
28.399,28.5,por,0.7820,0.7883,SPEAKER_04
28.52,28.56,lo,0.8320,0.9989,SPEAKER_04
28.6,28.801,"demás,",0.6090,0.9997,SPEAKER_04
28.822,29.083,que,0.7220,0.9211,SPEAKER_04
29.405,29.485,las,0.8790,0.9969,SPEAKER_04
29.525,29.827,figuras,0.8740,0.9999,SPEAKER_04
29.907,30.229,lógicas,0.8220,0.9995,SPEAKER_04
30.832,30.912,que,0.8020,0.9971,SPEAKER_04
30.973,31.053,se,0.8780,0.9998,SPEAKER_04
31.133,31.355,usan,0.7700,0.9999,SPEAKER_04
31.475,31.656,siguen,0.9380,0.9956,SPEAKER_04
31.737,31.998,siendo,0.7640,1.0000,SPEAKER_04
32.018,32.219,las,0.4910,0.9998,SPEAKER_04
32.239,32.42,clásicas.,0.1140,0.9984,SPEAKER_04
34.86,35.507,Lo,0.6360,0.9967,SPEAKER_04
35.547,35.649,que,0.8090,1.0000,SPEAKER_04
35.709,35.77,ha,0.9470,0.9999,SPEAKER_04
35.83,36.012,hecho,0.8970,0.9997,SPEAKER_04
36.093,36.336,Vargas,0.5960,0.9990,SPEAKER_04
36.356,36.619,Llosa,0.7660,0.9936,SPEAKER_04
36.639,36.68,y,0.4810,0.8040,SPEAKER_04
36.72,36.761,lo,0.9900,1.0000,SPEAKER_04
36.781,36.862,que,0.4930,1.0000,SPEAKER_04
36.922,37.306,distingue,0.7620,0.9999,SPEAKER_04
37.327,37.448,el,0.6540,0.9444,SPEAKER_04
37.529,37.974,movimiento,0.9320,0.9982,SPEAKER_04
38.014,38.075,de,0.4590,0.7533,SPEAKER_04
38.115,38.439,Vargas,0.7340,0.9999,SPEAKER_04
38.459,38.58,"Llosa,",0.1640,1.0000,SPEAKER_04
39.3,39.543,la,0.7180,0.9996,SPEAKER_04
39.624,40.11,campaña,0.9960,1.0000,SPEAKER_04
40.13,40.15,y,0.9820,0.7458,SPEAKER_04
40.738,40.778,el,0.9200,1.0000,SPEAKER_04
40.839,41.163,movimiento,0.8530,0.9998,SPEAKER_04
41.244,41.487,político,0.9880,0.9999,SPEAKER_04
41.527,41.608,que,0.5220,0.9997,SPEAKER_04
41.628,41.669,se,0.9920,1.0000,SPEAKER_04
41.689,41.73,ha,0.7130,1.0000,SPEAKER_04
41.79,42.074,formado,0.9390,0.9999,SPEAKER_04
42.135,42.175,en,0.9280,0.9993,SPEAKER_04
42.236,42.479,torno,0.9170,1.0000,SPEAKER_04
42.499,42.519,a,0.0000,1.0000,SPEAKER_04
42.54,42.6,"él,",0.3330,0.9999,SPEAKER_04
43.3,43.965,es,0.7680,0.9999,SPEAKER_04
44.025,44.186,que,0.9410,1.0000,SPEAKER_04
45.113,45.133,a,0.9990,0.6779,SPEAKER_04
45.174,45.617,diferencia,0.9180,1.0000,SPEAKER_04
45.677,45.718,de,0.8870,1.0000,SPEAKER_04
45.839,46.06,muchos,0.8570,1.0000,SPEAKER_04
46.141,46.524,movimientos,0.7260,0.9999,SPEAKER_04
46.584,46.624,de,0.6090,0.9991,SPEAKER_04
46.685,46.987,corte,0.9000,0.9966,SPEAKER_04
47.047,47.309,liberal,0.8610,0.9997,SPEAKER_04
47.37,47.712,económico,0.8970,0.9984,SPEAKER_04
47.732,47.833,que,0.5930,0.9997,SPEAKER_04
47.873,47.914,ha,0.3560,0.9999,SPEAKER_04
47.934,48.176,habido,0.4710,0.9999,SPEAKER_04
48.256,48.296,en,0.8880,1.0000,SPEAKER_04
48.337,48.639,América,0.7750,0.9997,SPEAKER_04
48.659,48.8,"Latina,",0.1430,0.9999,SPEAKER_04
48.86,49.162,por,0.0790,0.9982,SPEAKER_04
