start,end,word,alignment_score,probability,speaker
0.56,1.284,El,0.5480,0.9983,SPEAKER_05
1.365,1.526,Centro,0.6520,0.9964,SPEAKER_05
1.546,1.586,de,0.8300,1.0000,SPEAKER_05
1.606,1.828,Estudios,0.3980,0.9948,SPEAKER_05
1.908,2.271,Públicos,0.8240,0.9999,SPEAKER_05
3.156,3.237,se,0.9310,0.9965,SPEAKER_05
3.317,3.559,honra,0.7560,0.9957,SPEAKER_05
3.579,3.619,en,0.8450,0.9578,SPEAKER_05
3.659,3.86,tener,0.7730,0.9997,SPEAKER_05
3.881,3.961,hoy,0.5560,1.0000,SPEAKER_05
4.021,4.283,"día,",0.9670,0.9997,SPEAKER_05
5.128,5.189,en,0.7120,1.0000,SPEAKER_05
5.229,5.269,la,0.9520,1.0000,SPEAKER_05
5.33,5.732,tercera,0.9600,0.9999,SPEAKER_05
5.772,6.296,sesión,0.8750,0.9999,SPEAKER_05
6.316,6.376,del,0.3330,0.9998,SPEAKER_05
6.638,7.04,seminario,0.6110,0.9734,SPEAKER_05
7.02,7.904,Transición,0.7170,0.9968,SPEAKER_05
7.924,8.065,hacia,0.7420,0.9976,SPEAKER_05
8.145,8.186,la,0.9990,1.0000,SPEAKER_05
8.226,8.708,Democracia,0.7920,0.9954,SPEAKER_05
8.728,8.748,y,0.9870,1.0000,SPEAKER_05
8.788,9.271,Sistema,0.2630,0.9977,SPEAKER_05
9.291,9.331,de,0.3020,0.9920,SPEAKER_05
9.391,9.632,Partidos,0.8720,0.9902,SPEAKER_05
9.713,10.135,"Políticos,",0.9380,0.9996,SPEAKER_05
10.155,10.175,a,0.9980,0.9823,SPEAKER_05
12.988,13.169,dos,0.9080,1.0000,SPEAKER_05
13.833,14.355,profesores,0.9440,1.0000,SPEAKER_05
14.938,15.42,"universitarios,",0.4410,0.9795,SPEAKER_05
16.18,16.724,don,0.5150,0.6650,SPEAKER_05
16.744,16.946,Hernán,0.5180,0.8458,SPEAKER_05
17.006,17.349,Arraín,0.7930,0.8679,SPEAKER_05
17.369,17.913,"Fernández,",0.8100,0.9996,SPEAKER_05
17.974,19.163,profesor,0.9340,0.9999,SPEAKER_05
19.203,19.243,de,0.8300,1.0000,SPEAKER_05
19.284,19.324,la,0.9120,1.0000,SPEAKER_05
19.385,19.707,Facultad,0.8980,0.9998,SPEAKER_05
19.747,19.808,de,0.4070,1.0000,SPEAKER_05
19.888,20.231,Derecho,0.9050,0.9999,SPEAKER_05
20.251,20.292,de,0.4990,0.9998,SPEAKER_05
20.312,20.856,la,0.9130,1.0000,SPEAKER_05
20.876,21.118,Universidad,0.1320,0.9907,SPEAKER_05
21.138,21.42,"Católica,",0.3430,0.9999,SPEAKER_05
22.66,23.205,Master,0.4790,0.8148,SPEAKER_05
23.973,24.336,Science,0.5520,0.6504,SPEAKER_05
24.72,24.801,en,0.7040,0.9856,SPEAKER_05
24.841,25.083,London,0.7860,0.8989,SPEAKER_05
25.164,25.406,School,0.4240,0.9997,SPEAKER_05
25.548,25.588,of,0.0020,1.0000,SPEAKER_05
25.608,26.093,Economics,0.7770,0.9982,SPEAKER_05
26.154,26.214,and,0.6500,0.9998,SPEAKER_05
26.295,26.658,Political,0.6440,0.9982,SPEAKER_05
26.679,26.84,"Science,",0.0980,0.9993,SPEAKER_05
27.6,28.825,y,0.9230,0.4325,SPEAKER_05
28.845,28.986,quien,0.6200,0.9883,SPEAKER_05
29.006,29.147,hará,0.8720,0.9998,SPEAKER_05
29.187,29.328,una,0.8050,0.9998,SPEAKER_05
29.348,29.85,"exposición,",0.9400,0.9999,SPEAKER_05
29.87,29.89,y,0.9650,0.9960,SPEAKER_05
29.93,32.059,don,0.6390,0.6343,SPEAKER_05
32.08,32.461,Heraldo,0.9840,0.9502,SPEAKER_05
32.662,33.044,"Muñoz,",0.9260,0.9995,SPEAKER_05
34.329,34.791,profesor,0.9840,0.9960,SPEAKER_05
34.872,35.093,del,0.6790,0.9997,SPEAKER_05
35.454,35.816,Instituto,0.7800,0.9998,SPEAKER_05
35.856,35.896,de,0.6190,0.9999,SPEAKER_05
35.916,36.177,Estudios,0.4200,0.9967,SPEAKER_05
36.198,36.78,Internacionales,0.8240,0.9996,SPEAKER_05
36.76,37.002,de,0.2790,0.9992,SPEAKER_05
37.082,37.123,la,0.8450,0.9997,SPEAKER_05
37.163,37.405,Universidad,0.4300,0.9998,SPEAKER_05
37.445,37.506,de,0.8320,1.0000,SPEAKER_05
37.586,37.848,"Chile,",0.8800,0.9999,SPEAKER_05
39.178,39.501,profesor,0.9290,0.9997,SPEAKER_05
39.521,39.541,e,0.7590,0.4337,SPEAKER_05
39.601,40.146,investigador,0.7830,0.9994,SPEAKER_05
40.166,40.206,de,0.5000,0.9999,SPEAKER_05
40.367,40.528,la,0.9440,1.0000,SPEAKER_05
40.992,41.294,Academia,0.8900,0.9999,SPEAKER_05
41.314,41.355,de,0.2920,0.9965,SPEAKER_05
41.375,41.738,Humanismo,0.5700,0.9971,SPEAKER_05
41.758,42.08,"Cristiano,",0.2840,0.9992,SPEAKER_05
43.72,44.263,doctor,0.8190,0.9972,SPEAKER_05
45.65,45.71,en,0.8750,0.9825,SPEAKER_05
45.731,45.771,la,0.9970,1.0000,SPEAKER_05
45.811,46.314,Universidad,0.9300,0.9998,SPEAKER_05
46.374,46.515,de,0.9560,0.9999,SPEAKER_05
46.736,47.138,"Denver,",0.7810,0.9910,SPEAKER_05
47.701,47.842,quien,0.8170,0.9990,SPEAKER_05
47.882,48.043,hará,0.7000,0.9999,SPEAKER_05
48.083,48.284,un,0.7460,0.9999,SPEAKER_05
48.485,49.088,comentario,0.9050,0.9999,SPEAKER_05
49.128,49.148,a,0.9960,0.9995,SPEAKER_05
49.169,49.973,la,0.4360,1.0000,SPEAKER_05
50.013,50.495,exposición,0.7640,0.9999,SPEAKER_05
50.536,50.596,del,0.3310,0.9761,SPEAKER_05
50.616,51.119,profesor,0.3820,0.9972,SPEAKER_05
51.139,51.38,"Arraín,",0.2310,0.6600,SPEAKER_05
53.04,53.85,para,0.8800,0.9967,SPEAKER_05
53.931,54.114,luego,0.9620,0.9999,SPEAKER_05
54.154,54.377,abrir,0.6160,0.9999,SPEAKER_05
54.478,54.782,paso,0.9960,0.9999,SPEAKER_05
54.802,54.822,a,0.9920,0.9999,SPEAKER_05
55.896,55.977,los,0.9640,0.9998,SPEAKER_05
55.997,56.24,comentarios.,0.0800,0.9997,SPEAKER_05
56.82,57.607,Y,0.9200,0.0761,SPEAKER_05
57.627,58.112,inquietudes,0.7830,0.9814,SPEAKER_05
58.132,58.192,y,0.2840,0.9894,SPEAKER_05
58.273,58.757,preguntas,0.7950,0.9999,SPEAKER_05
58.798,58.838,de,0.5000,0.8211,SPEAKER_05
59.565,59.645,los,0.6910,0.9999,SPEAKER_05
59.686,59.948,señores,0.9390,0.9996,SPEAKER_05
59.988,60.533,asistentes,0.9220,0.9997,SPEAKER_05
60.553,60.574,a,0.9900,0.9892,SPEAKER_05
60.614,60.876,este,0.3750,0.9998,SPEAKER_05
60.937,61.3,seminario.,0.3510,0.9998,SPEAKER_05
62.04,63.196,Los,0.9190,0.9741,SPEAKER_05
63.257,63.44,dejo,0.7180,1.0000,SPEAKER_05
63.5,63.866,entonces,0.8150,0.9935,SPEAKER_05
63.967,64.109,con,0.6040,0.9999,SPEAKER_05
64.129,64.231,don,0.4310,0.5542,SPEAKER_05
64.454,64.596,Hernán,0.2010,0.6150,SPEAKER_05
64.616,64.92,Arraín.,0.2460,0.6481,SPEAKER_05
68.88,69.794,Muchas,0.1670,0.9633,SPEAKER_04
69.815,69.981,gracias.,0.1270,1.0000,SPEAKER_04
71.62,72.545,Les,0.6530,0.1422,SPEAKER_04
72.686,73.088,agradezco,0.5990,0.9943,SPEAKER_04
73.109,73.29,estar,0.7320,0.9942,SPEAKER_04
73.35,73.672,invitado,0.9180,0.9546,SPEAKER_04
73.712,73.732,a,0.8910,0.9999,SPEAKER_04
73.772,74.074,este,0.8780,1.0000,SPEAKER_04
74.939,75.12,alto,0.9980,0.9758,SPEAKER_04
75.221,75.563,centro,0.9210,0.9945,SPEAKER_04
75.965,76.025,de,0.8630,0.9993,SPEAKER_04
76.045,76.488,estudios,0.7860,0.7433,SPEAKER_04
76.79,77.212,públicos,0.8610,0.7429,SPEAKER_04
78.097,78.137,y,0.8010,0.9949,SPEAKER_04
78.238,78.62,"políticos,",0.5880,0.9997,SPEAKER_04
79.7,80.506,a,0.8720,0.9982,SPEAKER_04
80.607,80.768,pesar,0.9040,0.9999,SPEAKER_04
80.809,80.869,de,0.6760,1.0000,SPEAKER_04
80.97,81.071,ser,0.7170,1.0000,SPEAKER_04
81.151,81.252,un,0.9100,0.9999,SPEAKER_04
81.917,82.361,abogado,0.8680,0.9999,SPEAKER_04
82.421,82.602,entre,0.7930,0.5682,SPEAKER_04
82.663,82.965,tantos,0.9080,0.9773,SPEAKER_04
82.985,83.731,distinguidos,0.6320,0.9764,SPEAKER_04
84.154,84.497,cientistas,0.7360,0.9651,SPEAKER_04
84.578,84.9,políticos.,0.4090,1.0000,SPEAKER_04
85.1,85.964,Me,0.8820,0.9532,SPEAKER_04
86.005,86.19,siento,0.8470,0.9989,SPEAKER_04
86.231,86.334,muy,0.5880,0.9996,SPEAKER_04
86.355,86.561,honrado.,0.2580,0.9986,SPEAKER_04
86.82,87.144,Espero,0.2650,0.3228,SPEAKER_04
87.184,87.346,poder,0.3880,0.9996,SPEAKER_04
87.387,87.731,colaborar,0.8680,0.9999,SPEAKER_04
87.791,87.852,en,0.9910,0.9999,SPEAKER_04
87.913,88.115,algo,0.9450,0.9990,SPEAKER_04
88.135,88.156,a,0.9620,0.9137,SPEAKER_04
88.864,89.006,este,0.7920,0.9999,SPEAKER_04
89.087,89.329,debate,0.8900,0.9999,SPEAKER_04
89.39,89.471,que,0.7590,0.9975,SPEAKER_04
89.511,89.532,a,0.0510,1.0000,SPEAKER_04
89.592,89.734,todos,0.9450,0.9984,SPEAKER_04
89.775,89.876,nos,0.4720,0.9999,SPEAKER_04
89.936,90.26,interesa.,0.3520,0.9999,SPEAKER_04
92.32,93.005,Voy,0.7700,0.9991,SPEAKER_04
93.025,93.065,a,0.4970,1.0000,SPEAKER_04
93.468,93.689,tratar,0.9690,0.9999,SPEAKER_04
93.77,93.81,el,0.9480,0.9999,SPEAKER_04
93.931,94.152,tema,0.9560,1.0000,SPEAKER_04
94.817,94.897,de,0.8350,0.9999,SPEAKER_04
94.937,94.998,la,0.9110,0.9999,SPEAKER_04
95.058,95.602,"democracia,",0.9150,0.9999,SPEAKER_04
96.528,96.588,de,0.9800,0.9997,SPEAKER_04
96.629,96.709,los,0.8200,0.9996,SPEAKER_04
96.749,97.132,partidos,0.9340,0.9999,SPEAKER_04
