start,end,word,alignment_score,probability,speaker
0.96,1.662,En,0.6180,0.9993,SPEAKER_00
1.722,1.923,primer,0.6690,1.0000,SPEAKER_00
1.963,2.104,lugar,0.7640,1.0000,SPEAKER_00
2.184,2.425,quisiera,0.7860,0.7506,SPEAKER_00
2.445,2.826,agradecer,0.5280,1.0000,SPEAKER_00
2.866,2.926,la,0.6380,0.9903,SPEAKER_00
2.986,3.267,presencia,0.8610,0.9999,SPEAKER_00
3.287,3.328,de,0.5120,0.9999,SPEAKER_00
3.348,3.508,todos,0.5310,1.0000,SPEAKER_00
3.588,3.909,ustedes,0.7810,0.9998,SPEAKER_00
3.93,3.95,a,0.9950,0.9991,SPEAKER_00
4.692,4.873,esta,0.8880,1.0000,SPEAKER_00
4.933,5.133,mesa,0.9560,0.9975,SPEAKER_00
5.234,5.735,"redonda,",0.8930,0.9961,SPEAKER_00
6.458,6.518,en,0.7170,0.9998,SPEAKER_00
6.538,6.598,la,0.7530,1.0000,SPEAKER_00
6.658,6.819,cual,0.9670,0.9999,SPEAKER_00
6.879,6.959,el,0.9700,1.0000,SPEAKER_00
7.019,7.34,señor,0.9780,0.9998,SPEAKER_00
7.401,7.842,Alejandro,0.7770,1.0000,SPEAKER_00
7.882,8.324,Murúa,0.8680,0.9410,SPEAKER_00
8.364,8.805,efectuará,0.7770,0.9981,SPEAKER_00
8.845,8.946,una,0.8890,1.0000,SPEAKER_00
9.006,9.146,breve,0.5310,0.9966,SPEAKER_00
9.186,9.568,exposición,0.8870,0.9999,SPEAKER_00
9.628,9.768,sobre,0.7670,1.0000,SPEAKER_00
9.788,9.869,el,0.5750,1.0000,SPEAKER_00
9.969,10.169,tema,0.9940,1.0000,SPEAKER_00
10.19,10.23,de,0.4660,0.1720,SPEAKER_00
10.27,10.751,la,0.4720,0.9960,SPEAKER_00
10.771,11.133,edición,0.7990,0.9941,SPEAKER_00
11.173,11.494,"estatal,",0.8580,0.9999,SPEAKER_00
11.554,12.035,universitaria,0.7040,0.9920,SPEAKER_00
12.056,12.076,y,0.7410,0.9996,SPEAKER_00
12.136,12.537,"privada,",0.2100,0.9942,SPEAKER_00
12.557,13.019,alineamientos,0.8920,0.9711,SPEAKER_00
13.099,13.199,para,0.8670,1.0000,SPEAKER_00
13.219,13.32,el,0.6690,1.0000,SPEAKER_00
13.34,13.48,futuro.,0.1430,1.0000,SPEAKER_00
14.36,15.022,La,0.9620,1.0000,SPEAKER_00
15.082,15.323,idea,0.8640,1.0000,SPEAKER_00
17.027,17.068,es,0.0130,1.0000,SPEAKER_00
17.088,17.168,que,0.8360,1.0000,SPEAKER_00
17.208,17.408,después,0.8150,0.9999,SPEAKER_00
17.429,17.469,de,0.9490,1.0000,SPEAKER_00
17.489,17.589,esta,0.8440,1.0000,SPEAKER_00
17.629,18.01,exposición,0.8940,1.0000,SPEAKER_00
18.05,18.491,tengamos,0.7750,1.0000,SPEAKER_00
18.752,18.933,algún,0.9260,0.9999,SPEAKER_00
18.993,19.394,intercambio,0.7890,1.0000,SPEAKER_00
19.414,19.474,de,0.2490,1.0000,SPEAKER_00
19.494,19.775,ideas,0.6280,0.9999,SPEAKER_00
19.815,20.377,respecto,0.4340,0.9996,SPEAKER_00
20.457,20.517,de,0.9580,0.9992,SPEAKER_00
20.577,20.657,las,0.9900,1.0000,SPEAKER_00
20.798,21.179,opiniones,0.8970,0.9999,SPEAKER_00
21.199,21.259,que,0.3240,0.9993,SPEAKER_00
21.359,21.44,él,0.8140,0.9996,SPEAKER_00
21.46,21.52,va,0.9520,1.0000,SPEAKER_00
21.54,21.56,a,0.3130,1.0000,SPEAKER_00
21.58,21.981,vertir,0.6310,0.8164,SPEAKER_00
22.001,22.262,"acá,",0.7990,0.9997,SPEAKER_00
23.947,24.087,para,0.8670,0.9999,SPEAKER_00
24.207,24.448,así,0.9290,0.9998,SPEAKER_00
25.35,25.611,tener,0.9890,0.9995,SPEAKER_00
27.416,27.677,mayor,0.9540,0.6517,SPEAKER_00
28.299,28.599,abanico,0.6300,0.9996,SPEAKER_00
28.62,28.66,de,0.0100,1.0000,SPEAKER_00
28.68,28.8,ideas.,0.1670,0.9929,SPEAKER_00
30.0,30.603,El,0.9250,0.8910,SPEAKER_00
30.643,30.803,señor,0.9780,0.9918,SPEAKER_00
30.864,31.044,Murúa,0.5280,0.8641,SPEAKER_00
31.065,31.105,es,0.3410,0.9231,SPEAKER_00
31.125,31.446,ingeniero,0.4580,0.9627,SPEAKER_00
31.486,31.687,civil,0.4590,0.9843,SPEAKER_00
31.727,32.39,electrónico,0.9570,0.9990,SPEAKER_00
32.43,32.471,de,0.4820,0.9983,SPEAKER_00
32.511,32.551,la,0.4300,0.9994,SPEAKER_00
32.611,32.892,Universidad,0.2600,0.9970,SPEAKER_00
32.933,32.973,de,0.9680,1.0000,SPEAKER_00
33.073,33.354,"Chile,",0.7580,1.0000,SPEAKER_00
33.515,33.836,director,0.9760,0.9975,SPEAKER_00
33.877,33.917,de,0.8100,1.0000,SPEAKER_00
33.977,34.6,televisión,0.8840,0.9361,SPEAKER_00
34.62,34.66,de,0.4800,0.9762,SPEAKER_00
34.68,35.062,la,0.6600,0.9995,SPEAKER_00
35.162,35.584,Pontificia,0.6910,0.9832,SPEAKER_00
35.604,35.845,Universidad,0.2530,0.8358,SPEAKER_00
35.885,36.267,Católica,0.9310,0.9999,SPEAKER_00
36.327,36.387,de,0.9280,1.0000,SPEAKER_00
36.488,36.729,"Chile,",0.9020,1.0000,SPEAKER_00
37.171,37.211,y,0.8090,0.9994,SPEAKER_00
37.251,37.452,además,0.9040,0.9991,SPEAKER_00
37.532,37.914,periodista,0.8960,0.9998,SPEAKER_00
37.954,37.994,de,0.5700,0.9994,SPEAKER_00
38.014,38.054,la,0.9140,1.0000,SPEAKER_00
38.115,38.496,Pontificia,0.7650,0.9999,SPEAKER_00
38.516,38.737,Universidad,0.1760,0.9994,SPEAKER_00
38.777,39.199,Católica,0.9140,1.0000,SPEAKER_00
39.219,39.259,de,0.0010,1.0000,SPEAKER_00
39.28,39.4,Chile.,0.1670,1.0000,SPEAKER_00
40.56,41.242,Por,0.5370,0.9999,SPEAKER_00
41.322,41.483,último,0.8660,1.0000,SPEAKER_00
41.523,41.924,quisiera,0.6510,0.7872,SPEAKER_00
42.185,42.626,contarles,0.8490,0.9998,SPEAKER_00
42.727,42.807,que,0.7420,1.0000,SPEAKER_00
42.827,43.248,esta,0.7840,0.9999,SPEAKER_00
43.609,43.83,mesa,0.8400,0.9716,SPEAKER_00
43.89,44.231,redonda,0.7420,0.9942,SPEAKER_00
44.292,44.512,forma,0.9590,0.9995,SPEAKER_00
44.572,44.793,parte,0.9860,1.0000,SPEAKER_00
44.853,45.074,del,0.8350,1.0000,SPEAKER_00
45.255,45.796,proyecto,0.9770,0.9999,SPEAKER_00
45.816,46.619,Proposiciones,0.5240,0.9977,SPEAKER_00
46.699,46.799,para,0.6040,0.9999,SPEAKER_00
46.839,47.381,liberalizar,0.6410,0.6525,SPEAKER_00
47.441,47.522,la,0.6600,0.9999,SPEAKER_00
47.562,48.003,televisión,0.8460,0.9979,SPEAKER_00
48.063,48.123,en,0.8500,1.0000,SPEAKER_00
48.264,48.484,"Chile,",0.7440,1.0000,SPEAKER_00
48.505,48.565,que,0.3330,0.9992,SPEAKER_00
48.645,48.725,el,0.5860,0.9814,SPEAKER_00
49.046,49.227,CEP,0.5330,0.9617,SPEAKER_00
49.247,49.468,lleva,0.9150,0.9873,SPEAKER_00
49.548,50.069,realizando,0.9670,0.9999,SPEAKER_00
50.15,50.33,ya,0.8930,0.9998,SPEAKER_00
51.052,51.253,alrededor,0.3510,0.9883,SPEAKER_00
51.293,51.353,de,0.9720,1.0000,SPEAKER_00
51.434,51.614,seis,0.9270,0.7305,SPEAKER_00
51.694,51.895,meses,0.9890,1.0000,SPEAKER_00
51.955,52.056,con,0.9100,0.9965,SPEAKER_00
52.076,52.136,el,0.7440,1.0000,SPEAKER_00
52.176,52.617,patrocinio,0.7740,0.9996,SPEAKER_00
52.657,52.698,de,0.5160,0.9999,SPEAKER_00
52.758,52.798,la,0.8670,1.0000,SPEAKER_00
52.878,53.4,Fundación,0.8880,0.9982,SPEAKER_00
53.42,53.52,Ford.,0.1820,0.8929,SPEAKER_00
54.12,54.79,Muchas,0.1500,0.9980,SPEAKER_00
54.81,55.013,gracias.,0.4650,1.0000,SPEAKER_00
55.378,55.54,Dejo,0.5390,0.9984,SPEAKER_00
55.561,55.682,con,0.5450,0.9999,SPEAKER_00
55.723,56.007,ustedes,0.6970,0.4425,SPEAKER_00
56.027,56.048,a,0.9480,0.9882,SPEAKER_00
56.433,56.798,Alejandro,0.7410,0.9973,SPEAKER_00
56.819,56.94,Murúa.,0.1660,0.9996,SPEAKER_00
57.82,58.564,"Bueno,",0.4800,0.8604,SPEAKER_02
58.585,58.751,buenas,0.7720,0.9999,SPEAKER_02
58.813,59.061,tardes.,0.5220,1.0000,SPEAKER_02
