start,end,word,alignment_score,probability,speaker
0.0,0.683,Y,0.9550,0.6322,SPEAKER_03
0.743,0.783,en,0.7180,0.9822,SPEAKER_03
0.844,0.884,el,0.7150,0.9989,SPEAKER_03
0.944,1.185,caso,0.8560,0.9999,SPEAKER_03
1.245,1.306,de,0.8640,0.9991,SPEAKER_03
4.299,4.419,tu,0.7440,0.5466,SPEAKER_03
4.459,4.781,"amigo,",0.9530,0.9997,SPEAKER_03
4.801,5.845,especialmente,0.6960,0.9992,SPEAKER_03
5.865,6.267,vinculado,0.4690,0.9999,SPEAKER_03
6.287,6.307,a,0.4360,0.9990,SPEAKER_03
6.368,6.649,gente,0.9480,0.9499,SPEAKER_03
6.689,6.729,en,0.4800,0.9927,SPEAKER_03
7.834,8.035,torno,0.9570,0.9999,SPEAKER_03
8.055,8.075,a,0.9880,1.0000,SPEAKER_03
8.396,8.497,la,0.7250,0.9994,SPEAKER_03
8.658,9.24,"literatura,",0.5740,0.9998,SPEAKER_03
10.72,11.723,¿a,0.6660,0.7661,SPEAKER_03
11.783,11.983,ellos,0.6190,0.9755,SPEAKER_03
13.748,13.848,les,0.8610,0.9905,SPEAKER_03
13.888,14.129,llamaba,0.7540,0.9999,SPEAKER_03
14.209,14.249,la,0.3740,1.0000,SPEAKER_03
14.269,14.63,"atención,",0.7580,0.9999,SPEAKER_03
14.65,17.879,"digamos,",0.5280,0.9864,SPEAKER_03
17.899,17.959,o,0.7790,0.9535,SPEAKER_03
18.801,18.962,cómo,0.8890,0.6800,SPEAKER_03
19.964,20.045,no,0.9240,0.7548,SPEAKER_03
20.105,20.325,veían,0.8010,0.9903,SPEAKER_03
20.366,20.466,con,0.9220,0.9998,SPEAKER_03
20.526,21.128,extrañeza,0.8270,0.9981,SPEAKER_03
21.148,21.188,el,0.4940,0.9997,SPEAKER_03
21.348,21.509,hecho,0.8650,1.0000,SPEAKER_03
21.549,21.589,de,0.9900,1.0000,SPEAKER_03
21.649,21.749,que,0.6580,1.0000,SPEAKER_03
