start,end,word,alignment_score,probability,speaker
9.38,10.046,El,0.4540,0.9632,SPEAKER_02
10.086,10.368,profesor,0.7190,0.9286,SPEAKER_02
10.469,10.711,Oscar,0.5380,0.9704,SPEAKER_02
10.731,10.953,Metz,0.5880,0.8216,SPEAKER_02
11.094,11.518,expondrá,0.9160,0.9646,SPEAKER_02
11.639,11.82,sobre,0.9170,0.9999,SPEAKER_02
11.941,12.526,fundamentos,0.9630,0.9556,SPEAKER_02
12.566,13.192,de,0.8940,0.9997,SPEAKER_02
13.212,13.272,la,0.5830,1.0000,SPEAKER_02
13.333,13.595,teoría,0.6940,0.9972,SPEAKER_02
13.655,14.039,democrática,0.5370,0.9999,SPEAKER_02
14.059,14.22,liberal.,0.1250,0.9914,SPEAKER_02
15.78,16.631,Y,0.9170,0.9987,SPEAKER_02
16.651,16.773,hará,0.9830,1.0000,SPEAKER_02
16.834,16.874,un,0.8200,1.0000,SPEAKER_02
16.935,17.523,comentario,0.9200,0.9999,SPEAKER_02
17.563,17.604,el,0.4980,0.9826,SPEAKER_02
17.969,18.232,profesor,0.8640,1.0000,SPEAKER_02
18.334,18.678,Carlos,0.6970,0.9999,SPEAKER_02
18.698,18.84,Zuneus.,0.1430,0.6994,SPEAKER_02
19.48,20.091,¿Quién,0.1630,0.6914,SPEAKER_02
20.111,20.172,ha,0.6230,0.9999,SPEAKER_02
20.192,20.396,venido,0.3840,1.0000,SPEAKER_02
20.416,20.498,con,0.5560,0.9591,SPEAKER_02
20.864,20.986,un...?,0.1420,0.7067,SPEAKER_02
21.007,21.169,¿Tienen,0.6220,0.7244,SPEAKER_02
21.19,21.271,aquí,0.7120,0.8851,SPEAKER_02
21.312,21.373,tu,0.2750,0.9596,SPEAKER_02
21.393,21.719,"maletino,",0.1620,0.9396,SPEAKER_02
21.739,21.8,no?,0.3300,0.9980,SPEAKER_02
22.42,22.933,¿Qué,0.2150,0.4322,SPEAKER_02
22.953,23.507,muestra?,0.2840,0.6150,SPEAKER_02
23.527,23.588,¿Ha,0.1640,0.8297,SPEAKER_02
23.65,23.834,venido,0.3850,0.9999,SPEAKER_02
23.855,24.08,preparado?,0.2340,0.9993,SPEAKER_02
24.42,25.972,Tiene,0.4370,0.7247,SPEAKER_02
26.093,26.678,unos,0.4260,0.9705,SPEAKER_02
27.263,27.464,cinco,0.9060,0.6764,SPEAKER_02
27.545,27.746,kilos,0.9480,0.9992,SPEAKER_02
27.807,27.847,y,0.7720,0.9998,SPEAKER_02
27.928,28.129,medio,0.9600,0.9999,SPEAKER_02
28.17,28.23,de,0.5030,0.9999,SPEAKER_02
28.25,28.553,libros,0.8220,0.9877,SPEAKER_02
28.573,28.795,allá,0.3360,0.9735,SPEAKER_02
28.896,28.936,al,0.3460,0.9998,SPEAKER_02
28.976,29.077,"lado,",0.1600,0.9997,SPEAKER_02
29.097,29.198,por,0.1720,0.9978,SPEAKER_02
29.218,29.339,si,0.3100,0.9993,SPEAKER_02
29.359,29.48,acaso.,0.1660,1.0000,SPEAKER_02
30.42,31.158,Hay,0.5370,0.7037,SPEAKER_02
31.22,31.363,duda,0.9150,0.5305,SPEAKER_02
