start,end,word,alignment_score,probability,speaker
20.88,22.689,"Bueno,",0.8860,0.6479,SPEAKER_07
22.71,22.832,muy,0.8370,0.9999,SPEAKER_07
22.852,23.096,buenas,0.6800,1.0000,SPEAKER_07
23.116,23.36,tardes.,0.5290,1.0000,SPEAKER_07
24.1,24.95,En,0.7060,0.9989,SPEAKER_07
25.01,25.233,nombre,0.8120,0.9998,SPEAKER_07
25.253,25.374,del,0.5560,1.0000,SPEAKER_07
25.476,25.658,Centro,0.5990,0.9981,SPEAKER_07
25.678,25.718,de,0.5320,0.9761,SPEAKER_07
25.739,26.002,Estudios,0.8800,0.9992,SPEAKER_07
26.123,26.548,Públicos,0.8940,0.9955,SPEAKER_07
26.568,26.588,y,0.9970,0.9456,SPEAKER_07
27.033,27.094,en,0.9400,0.9999,SPEAKER_07
27.134,27.215,el,0.9780,1.0000,SPEAKER_07
27.256,27.478,mío,0.9070,0.9995,SPEAKER_07
27.499,27.64,"propio,",0.1430,1.0000,SPEAKER_07
28.94,30.028,agradezco,0.8840,0.7572,SPEAKER_07
30.189,30.431,su,0.9960,0.9996,SPEAKER_07
30.511,31.176,asistencia,0.9490,0.9999,SPEAKER_07
31.196,31.216,y,0.9970,0.8598,SPEAKER_07
32.526,33.17,especialmente,0.8700,0.9959,SPEAKER_07
33.211,33.231,a,0.9660,0.9986,SPEAKER_07
33.271,33.553,nuestro,0.6420,0.9971,SPEAKER_07
33.613,33.976,expositor,0.4460,0.9974,SPEAKER_07
33.996,34.016,y,0.3480,0.9976,SPEAKER_07
34.036,34.56,comentarista,0.0640,0.9996,SPEAKER_07
34.54,36.682,por,0.8520,0.9886,SPEAKER_07
36.703,36.763,la,0.9610,0.9999,SPEAKER_07
36.804,37.026,tarea,0.8760,0.9999,SPEAKER_07
37.127,37.208,que,0.9240,0.9999,SPEAKER_07
37.248,37.41,vamos,0.7920,0.9997,SPEAKER_07
37.471,37.491,a,0.0040,0.9999,SPEAKER_07
37.551,37.915,empezar,0.9420,0.9991,SPEAKER_07
37.956,37.976,a,0.1040,0.9999,SPEAKER_07
38.057,38.4,desarrollar.,0.3710,0.9998,SPEAKER_07
42.2,43.349,El,0.6360,0.9861,SPEAKER_07
43.389,43.792,expositor,0.9480,0.9997,SPEAKER_07
43.812,43.852,en,0.4590,0.9788,SPEAKER_07
43.893,43.953,el,0.5780,0.9999,SPEAKER_07
43.993,44.114,día,0.8910,0.9997,SPEAKER_07
44.175,44.235,de,0.7720,0.9999,SPEAKER_07
44.296,44.437,hoy,0.8860,1.0000,SPEAKER_07
44.457,45.605,será,0.7060,0.9995,SPEAKER_07
46.734,46.976,don,0.5340,0.7648,SPEAKER_07
46.996,47.217,Pablo,0.5380,0.9936,SPEAKER_07
47.237,47.6,"Ortuzar,",0.4320,0.8417,SPEAKER_07
48.64,49.765,quien,0.7760,0.9992,SPEAKER_07
49.805,50.227,hablará,0.9220,0.9998,SPEAKER_07
50.267,51.292,sobre,0.9170,0.9996,SPEAKER_07
53.281,53.342,la,0.9520,0.9991,SPEAKER_07
53.402,53.764,reforma,0.9060,0.9275,SPEAKER_07
53.824,54.286,previsional,0.7720,0.9486,SPEAKER_07
54.306,54.346,de,0.5000,0.9997,SPEAKER_07
54.366,54.467,"1980,",0.9770,0.9987,SPEAKER_07
54.547,55.15,mitos,0.7390,0.9789,SPEAKER_07
55.17,55.19,y,0.9970,0.9995,SPEAKER_07
55.371,57.36,premoniciones.,0.4490,0.9990,SPEAKER_07
58.96,59.691,Pablo,0.4460,0.9300,SPEAKER_07
59.711,60.097,Ortuzar,0.5010,0.6168,SPEAKER_07
60.118,60.158,es,0.4090,0.1298,SPEAKER_07
60.199,60.483,ingeniero,0.7910,0.9588,SPEAKER_07
60.544,60.91,comercial,0.9030,0.9998,SPEAKER_07
60.991,61.052,de,0.7470,0.9978,SPEAKER_07
61.072,61.113,la,0.2220,0.9946,SPEAKER_07
61.153,61.417,Universidad,0.0870,0.9909,SPEAKER_07
61.438,61.62,"Católica,",0.1110,0.9998,SPEAKER_07
62.3,62.927,miembro,0.9550,0.9999,SPEAKER_07
62.947,63.069,del,0.7750,0.9871,SPEAKER_07
63.19,63.837,Wolfson,0.6050,0.9872,SPEAKER_07
63.858,64.201,College,0.6570,0.9996,SPEAKER_07
64.343,64.384,de,0.7720,0.9968,SPEAKER_07
64.404,64.444,la,0.0340,0.9992,SPEAKER_07
64.464,64.727,Universidad,0.1680,0.9998,SPEAKER_07
64.748,64.788,de,0.0310,0.9526,SPEAKER_07
64.808,65.314,Cambridge,0.5270,0.9999,SPEAKER_07
65.355,65.395,en,0.0160,0.8823,SPEAKER_07
65.415,65.86,"Inglaterra,",0.6440,0.9999,SPEAKER_07
66.58,66.925,máster,0.4010,0.9635,SPEAKER_07
66.945,66.985,en,0.2740,1.0000,SPEAKER_07
67.026,67.289,Economía,0.3580,0.8594,SPEAKER_07
67.33,67.816,Internacional,0.8910,0.9999,SPEAKER_07
67.857,67.898,de,0.4900,0.9996,SPEAKER_07
67.918,68.06,la,0.1360,0.9999,SPEAKER_07
68.08,68.344,Universidad,0.3650,1.0000,SPEAKER_07
68.364,68.425,de,0.6510,0.9982,SPEAKER_07
68.526,68.891,Sussex,0.4720,0.9978,SPEAKER_07
69.033,69.094,en,0.7000,0.9941,SPEAKER_07
69.154,69.6,Inglaterra,0.4380,1.0000,SPEAKER_07
69.58,71.099,e,0.9390,0.6600,SPEAKER_07
71.119,71.645,investigador,0.8270,0.9998,SPEAKER_07
71.686,71.767,del,0.8600,0.9992,SPEAKER_07
71.807,72.233,Departamento,0.8010,0.9833,SPEAKER_07
72.273,72.314,de,0.4920,0.9899,SPEAKER_07
72.334,72.597,Estudios,0.6960,0.9955,SPEAKER_07
72.617,72.678,de,0.2640,0.9944,SPEAKER_07
72.698,72.86,Odeplan.,0.1250,0.9395,SPEAKER_07
73.18,73.748,A,0.8890,0.9978,SPEAKER_07
73.85,74.012,pesar,0.9070,1.0000,SPEAKER_07
74.053,74.093,de,0.9600,0.9999,SPEAKER_07
74.154,74.255,sus,0.7130,0.8512,SPEAKER_07
74.296,74.54,títulos,0.8420,0.9999,SPEAKER_07
74.56,74.6,en,0.4600,0.5593,SPEAKER_07
74.621,75.087,"inglés,",0.7440,0.8980,SPEAKER_07
75.27,75.331,no,0.9150,0.9987,SPEAKER_07
75.351,75.595,llegó,0.6970,0.9973,SPEAKER_07
75.615,75.635,a,0.1100,1.0000,SPEAKER_07
75.716,75.98,"tiempo,",0.4630,0.9999,SPEAKER_07
76.76,76.862,lo,0.5950,0.9982,SPEAKER_07
76.985,77.066,que,0.3840,1.0000,SPEAKER_07
77.107,77.495,desvirtúa,0.7270,0.9612,SPEAKER_07
77.516,77.802,algunos,0.7230,0.9897,SPEAKER_07
77.904,78.108,mitos,0.8060,0.9999,SPEAKER_07
78.169,78.251,que,0.8610,0.9997,SPEAKER_07
78.292,78.7,"existen,",0.5920,0.9999,SPEAKER_07
79.38,79.686,no,0.8000,0.9991,SPEAKER_07
79.727,80.155,vinculados,0.7520,0.9978,SPEAKER_07
80.175,80.196,a,0.9980,0.9997,SPEAKER_07
80.216,80.257,la,0.8860,0.9997,SPEAKER_07
80.338,80.583,reforma,0.9360,0.9719,SPEAKER_07
80.644,81.297,"previsional,",0.8440,0.9584,SPEAKER_07
81.317,81.48,pero...,0.3370,0.9625,SPEAKER_07
83.44,83.966,Nuestro,0.6840,0.9966,SPEAKER_07
84.007,84.533,comentarista,0.8870,0.9996,SPEAKER_07
84.574,84.614,en,0.4930,0.0993,SPEAKER_07
84.634,84.675,el,0.6590,0.9993,SPEAKER_07
84.736,84.837,día,0.9730,0.9998,SPEAKER_07
84.877,84.958,de,0.9200,1.0000,SPEAKER_07
85.019,85.12,hoy,0.9970,1.0000,SPEAKER_07
85.161,85.565,es,0.9300,1.0000,SPEAKER_07
86.193,86.355,don,0.7900,0.7118,SPEAKER_07
86.375,86.638,Jorge,0.6460,0.9998,SPEAKER_07
86.659,86.8,"Quirós,",0.1430,0.8611,SPEAKER_07
86.78,87.537,ingeniero,0.6120,0.7461,SPEAKER_07
87.599,87.967,comercial,0.7560,0.9996,SPEAKER_07
88.008,88.049,de,0.6000,0.9820,SPEAKER_07
88.07,88.111,la,0.1040,0.9217,SPEAKER_07
88.131,88.356,Universidad,0.0740,0.9901,SPEAKER_07
88.377,88.418,de,0.0060,0.9997,SPEAKER_07
88.438,88.54,Chile,0.1950,0.9999,SPEAKER_07
88.52,88.581,e,0.1410,0.6321,SPEAKER_07
88.641,89.894,investigador,0.7850,0.9988,SPEAKER_07
