start,end,word,alignment_score,probability,speaker
0.0,0.345,Es,0.4820,0.8676,SPEAKER_00
0.366,0.427,el,0.9000,0.9996,SPEAKER_00
0.488,0.793,programa,0.8530,0.9999,SPEAKER_00
0.854,1.382,Escucha,0.5450,0.9945,SPEAKER_00
1.402,1.666,Chile,0.7160,0.8882,SPEAKER_00
1.727,1.788,de,0.7620,0.9986,SPEAKER_00
1.931,2.296,Radio,0.8800,0.9998,SPEAKER_00
2.317,2.54,Moscú.,0.3930,0.9975,SPEAKER_00
3.42,3.844,El,0.3580,0.9933,SPEAKER_01
3.864,4.51,ejército,0.1480,0.8659,SPEAKER_01
4.531,4.874,negó,0.4950,0.9978,SPEAKER_01
4.894,5.177,toda,0.4700,0.9999,SPEAKER_01
5.197,5.762,relación,0.5250,0.9996,SPEAKER_01
5.843,6.065,con,0.8300,0.9999,SPEAKER_01
6.085,6.529,Galvarino,0.7970,0.9624,SPEAKER_01
6.55,7.155,Ancarillo,0.6210,0.6519,SPEAKER_01
7.458,7.66,"Hernández,",0.1080,0.9991,SPEAKER_01
8.4,8.986,supuesto,0.2120,0.6117,SPEAKER_01
9.006,9.228,agente,0.6210,0.9918,SPEAKER_01
9.47,9.834,desertor,0.6560,0.9487,SPEAKER_01
10.359,10.44,que,0.8610,0.6861,SPEAKER_01
10.561,10.743,tiene,0.5810,0.9550,SPEAKER_01
10.803,10.864,al,0.9440,0.9997,SPEAKER_01
10.965,11.207,borde,0.7310,0.9992,SPEAKER_01
11.268,11.793,del,0.7910,0.7136,SPEAKER_01
11.874,12.338,escándalo,0.3060,0.9710,SPEAKER_01
12.358,12.399,a,0.4970,0.3853,SPEAKER_01
12.419,12.459,la,0.0020,0.8716,SPEAKER_01
12.479,12.56,PNI.,0.2470,0.6006,SPEAKER_01
13.58,13.843,Un,0.7530,0.9991,SPEAKER_01
13.863,14.328,despedido,0.6910,0.6236,SPEAKER_01
14.51,14.772,oficial,0.4540,0.9595,SPEAKER_01
14.793,15.015,dijo,0.8540,0.9985,SPEAKER_01
15.5,15.581,que,0.9410,0.9999,SPEAKER_01
15.621,15.682,no,0.8320,1.0000,SPEAKER_01
15.702,16.288,existía,0.4210,0.9988,SPEAKER_01
16.389,16.591,tal,0.5870,0.9997,SPEAKER_01
16.753,16.995,nombre,0.8140,0.9990,SPEAKER_01
17.056,17.117,en,0.6210,1.0000,SPEAKER_01
17.177,17.299,la,0.7030,1.0000,SPEAKER_01
17.319,17.46,"nómina,",0.1330,0.9994,SPEAKER_01
17.6,18.407,pero,0.2220,1.0000,SPEAKER_01
18.427,18.73,admitió,0.4420,0.9982,SPEAKER_01
18.75,18.831,que,0.6290,1.0000,SPEAKER_01
18.892,19.053,tal,0.5850,0.9990,SPEAKER_01
19.093,19.457,persona,0.7880,0.9983,SPEAKER_01
19.961,20.082,fue,0.7530,1.0000,SPEAKER_01
20.143,20.627,empleada,0.7680,0.9999,SPEAKER_01
20.93,21.011,del,0.8480,0.9996,SPEAKER_01
21.071,21.656,Ministerio,0.7550,0.9998,SPEAKER_01
21.717,21.777,de,0.3950,1.0000,SPEAKER_01
21.919,22.08,Defensa.,0.1090,0.9996,SPEAKER_01
22.9,23.082,Este,0.2810,0.9873,SPEAKER_01
23.184,23.224,es,0.3930,0.9985,SPEAKER_01
23.325,23.406,el,0.2550,0.9996,SPEAKER_01
23.427,23.67,cable,0.9040,0.9963,SPEAKER_01
23.771,23.832,que,0.8850,1.0000,SPEAKER_01
23.953,24.176,trae,0.8210,0.9990,SPEAKER_01
24.196,24.237,el,0.8010,0.9403,SPEAKER_01
24.318,24.905,comienzo,0.8870,0.9999,SPEAKER_01
24.925,25.006,del,0.9770,1.0000,SPEAKER_01
25.087,25.715,conocimiento,0.9250,1.0000,SPEAKER_01
25.776,25.857,de,0.8270,1.0000,SPEAKER_01
25.877,25.978,la,0.6920,1.0000,SPEAKER_01
25.998,26.14,verdad.,0.1410,1.0000,SPEAKER_01
26.12,27.247,De,0.8740,0.1358,SPEAKER_01
27.308,27.368,la,0.9660,0.9977,SPEAKER_01
27.449,27.811,verdad,0.8670,0.9959,SPEAKER_01
28.536,29.059,sobre,0.4900,0.4710,SPEAKER_01
29.079,29.119,la,0.0050,0.9871,SPEAKER_01
29.14,29.441,sociedad,0.2700,0.9476,SPEAKER_01
29.462,29.623,por,0.4800,0.9048,SPEAKER_01
29.643,29.683,el,0.7100,0.9642,SPEAKER_01
29.723,30.307,dirigente,0.5420,0.9985,SPEAKER_01
30.327,30.79,sindical,0.9590,0.9948,SPEAKER_01
31.414,32.058,Tucapel,0.6420,0.8821,SPEAKER_01
32.079,32.32,Jiménez.,0.4070,0.9985,SPEAKER_01
33.02,33.972,Tucapel,0.4300,0.9996,SPEAKER_01
33.992,34.357,Jiménez,0.6390,0.9999,SPEAKER_01
35.045,35.126,fue,0.2170,0.9985,SPEAKER_01
35.207,35.632,asesinado,0.6950,0.9999,SPEAKER_01
35.754,35.875,por,0.8760,0.9999,SPEAKER_01
35.936,36.037,el,0.5520,0.9998,SPEAKER_01
36.058,36.28,"régimen,",0.2530,0.9988,SPEAKER_01
36.88,37.224,porque,0.9120,0.9921,SPEAKER_01
37.285,37.406,se,0.7370,0.9855,SPEAKER_01
37.507,37.851,juzgaba,0.7770,0.9405,SPEAKER_01
38.013,38.135,por,0.9940,0.9998,SPEAKER_01
38.236,38.317,la,0.9480,0.9999,SPEAKER_01
38.418,38.722,unidad,0.9560,0.9999,SPEAKER_01
38.803,38.944,del,0.6790,0.9999,SPEAKER_01
39.025,39.47,movimiento,0.8520,0.9811,SPEAKER_01
39.511,40.118,sindical,0.6800,0.9999,SPEAKER_01
40.138,40.3,"chileno,",0.1260,0.9914,SPEAKER_01
40.44,41.354,por,0.8180,0.9997,SPEAKER_01
41.415,41.476,la,0.9460,1.0000,SPEAKER_01
41.618,41.943,unidad,0.9360,1.0000,SPEAKER_01
42.024,42.207,de,0.8200,1.0000,SPEAKER_01
42.228,42.471,todos,0.2510,0.9995,SPEAKER_01
42.512,42.634,los,0.1080,1.0000,SPEAKER_01
42.654,43.06,trabajadores.,0.3690,1.0000,SPEAKER_01
43.7,44.59,Tucapel,0.7000,0.9987,SPEAKER_00
44.711,45.095,Jiménez,0.8040,0.9999,SPEAKER_00
45.722,45.884,fue,0.8590,0.9999,SPEAKER_00
45.965,46.632,asesinado,0.8900,1.0000,SPEAKER_00
46.774,46.895,por,0.6130,1.0000,SPEAKER_00
46.935,47.016,el,0.8100,1.0000,SPEAKER_00
47.117,47.38,régimen.,0.2110,1.0000,SPEAKER_00
48.78,49.188,Eso,0.8490,0.9974,SPEAKER_00
49.596,49.637,es,0.0020,0.5443,SPEAKER_00
49.657,49.739,lo,0.8020,0.9998,SPEAKER_00
49.78,49.882,que,0.7640,1.0000,SPEAKER_00
49.984,50.372,comienza,0.8600,0.9985,SPEAKER_00
50.392,50.412,a,0.8480,1.0000,SPEAKER_00
50.453,50.82,probarse.,0.3480,0.9309,SPEAKER_00
51.86,52.708,Dicen,0.6150,0.9944,SPEAKER_00
52.789,52.849,las,0.7970,0.9996,SPEAKER_00
52.95,53.576,informaciones,0.8080,0.9998,SPEAKER_00
53.596,53.657,al,0.6070,0.9981,SPEAKER_00
53.718,54.121,respecto,0.9530,0.9997,SPEAKER_00
54.142,54.202,que,0.3330,0.5094,SPEAKER_00
54.707,55.191,un,0.6240,0.9831,SPEAKER_00
55.212,55.353,ex,0.7040,0.9246,SPEAKER_00
55.414,55.858,colaborador,0.6380,0.9977,SPEAKER_00
55.878,55.918,de,0.0000,0.9262,SPEAKER_00
55.938,55.979,la,0.0020,0.8486,SPEAKER_00
55.999,56.12,Cámara,0.1660,0.4372,SPEAKER_00
56.12,56.504,de,0.3560,0.0012,SPEAKER_00
56.524,56.564,la,0.0140,0.7771,SPEAKER_00
56.584,56.948,"PNI,",0.3590,0.4722,SPEAKER_00
56.968,57.392,Ancarillo,0.5280,0.6040,SPEAKER_00
57.412,57.916,"Hernández,",0.7180,0.9955,SPEAKER_00
58.34,58.421,se,0.6140,0.9873,SPEAKER_00
58.441,58.966,refugió,0.4580,0.9912,SPEAKER_00
59.027,59.107,en,0.8000,0.9912,SPEAKER_00
59.168,59.471,enero,0.8750,0.9879,SPEAKER_00
59.511,59.551,en,0.2800,0.9539,SPEAKER_00
60.197,60.52,"Francia,",0.4150,0.9992,SPEAKER_00
60.56,61.227,donde,0.8820,0.9936,SPEAKER_00
61.288,61.591,señaló,0.8900,0.9982,SPEAKER_00
61.692,61.813,que,0.4990,0.9968,SPEAKER_00
61.874,61.995,fue,0.5100,0.9958,SPEAKER_00
62.055,62.5,justamente,0.9760,0.9834,SPEAKER_00
62.52,62.561,el,0.4950,0.9958,SPEAKER_00
62.783,63.106,organismo,0.6350,0.9995,SPEAKER_00
63.207,63.692,terrorista,0.7160,0.9996,SPEAKER_00
63.753,63.874,del,0.8970,0.9980,SPEAKER_00
63.955,64.258,régimen,0.8800,0.9997,SPEAKER_00
64.279,64.44,"militar,",0.1230,0.9999,SPEAKER_00
