start,end,word,alignment_score,probability,speaker
1.7,2.203,...de,0.1900,0.5951,SPEAKER_02
2.223,2.283,los,0.0010,0.8698,SPEAKER_02
2.303,2.484,estudios,0.3580,0.9597,SPEAKER_02
2.585,2.947,"públicos,",0.9680,0.9996,SPEAKER_02
4.113,4.214,va,0.8580,0.9832,SPEAKER_02
4.254,4.274,a,0.0910,0.9999,SPEAKER_02
4.294,4.375,dar,0.4870,0.9994,SPEAKER_02
4.395,4.415,a,0.0060,1.0000,SPEAKER_02
4.435,4.797,conocer,0.9580,1.0000,SPEAKER_02
4.837,4.918,los,0.9930,0.9999,SPEAKER_02
4.978,5.582,resultados,0.9090,1.0000,SPEAKER_02
5.602,5.642,de,0.5000,0.9901,SPEAKER_02
6.989,7.13,su,0.8660,1.0000,SPEAKER_02
7.794,8.055,último,0.9530,1.0000,SPEAKER_02
8.116,8.478,estudio,0.8380,0.9999,SPEAKER_02
8.719,8.759,de,0.0020,1.0000,SPEAKER_02
8.779,8.92,opinión,0.1420,0.9999,SPEAKER_02
8.9,9.465,pública,0.3230,0.9995,SPEAKER_02
9.526,10.03,realizado,0.8800,0.9520,SPEAKER_02
10.696,11.321,recientemente,0.8090,0.9999,SPEAKER_02
11.342,11.442,en,0.4130,1.0000,SPEAKER_02
11.483,11.543,el,0.9920,1.0000,SPEAKER_02
11.584,11.664,mes,0.9090,1.0000,SPEAKER_02
11.725,11.765,de,0.9180,1.0000,SPEAKER_02
11.826,13.016,marzo,0.8820,0.9999,SPEAKER_02
13.036,13.057,y,0.9680,0.9928,SPEAKER_02
13.258,13.46,abril.,0.2980,1.0000,SPEAKER_02
14.54,15.304,En,0.9240,0.8596,SPEAKER_02
15.344,15.545,primer,0.7990,0.9838,SPEAKER_02
15.666,16.048,"término,",0.8600,1.0000,SPEAKER_02
17.577,17.697,don,0.2600,0.9672,SPEAKER_02
17.717,18.099,Roberto,0.7340,0.9997,SPEAKER_02
18.12,18.461,Méndez,0.7940,0.9990,SPEAKER_02
19.608,19.668,va,0.7160,0.7565,SPEAKER_02
19.688,19.708,a,0.2290,1.0000,SPEAKER_02
19.728,19.789,dar,0.1320,0.9988,SPEAKER_02
19.809,19.829,a,0.1990,1.0000,SPEAKER_02
19.889,20.151,conocer,0.9420,1.0000,SPEAKER_02
20.191,20.271,en,0.6860,0.9998,SPEAKER_02
20.311,20.633,general,0.8850,1.0000,SPEAKER_02
20.673,21.518,los,0.5570,0.9986,SPEAKER_02
21.558,21.9,resultados.,0.3990,1.0000,SPEAKER_02
24.1,24.523,"Posteriormente,",0.3370,0.9986,SPEAKER_02
25.269,25.37,don,0.4070,0.9997,SPEAKER_02
25.39,25.672,Arturo,0.7640,0.9999,SPEAKER_02
25.753,26.297,"Fontaine,",0.8650,0.9670,SPEAKER_02
26.458,26.841,director,0.9700,0.9815,SPEAKER_02
26.881,27.002,del,0.8370,0.9999,SPEAKER_02
27.063,27.244,Centro,0.8000,0.9582,SPEAKER_02
27.264,27.325,de,0.4010,0.9995,SPEAKER_02
27.345,27.607,Estudios,0.5710,0.9996,SPEAKER_02
27.748,28.091,"Públicos,",0.9210,0.9998,SPEAKER_02
29.119,29.179,don,0.2570,0.9965,SPEAKER_02
29.199,29.3,Oscar,0.1960,0.8040,SPEAKER_02
29.28,29.924,"Godoy,",0.4380,0.4975,SPEAKER_02
29.964,31.936,director,0.7140,0.8858,SPEAKER_02
31.956,32.057,del,0.6260,0.9961,SPEAKER_02
32.097,32.399,Instituto,0.9260,0.9911,SPEAKER_02
32.419,32.479,de,0.6580,0.9994,SPEAKER_02
32.58,32.841,Ciencia,0.7990,0.9945,SPEAKER_02
32.922,33.324,Política,0.9200,0.9991,SPEAKER_02
33.344,33.385,de,0.5000,0.9984,SPEAKER_02
33.626,33.666,la,0.9980,0.9999,SPEAKER_02
33.686,34.069,Universidad,0.5150,0.9988,SPEAKER_02
34.089,34.612,"Católica,",0.9410,0.9997,SPEAKER_02
34.632,34.652,y,0.9900,0.6424,SPEAKER_02
35.658,35.759,don,0.2900,0.7773,SPEAKER_02
35.779,35.96,Enrique,0.2190,0.9998,SPEAKER_02
35.94,36.584,"Barros,",0.6570,0.9993,SPEAKER_02
37.207,37.61,abogado,0.8690,0.9999,SPEAKER_02
37.65,37.67,y,0.1150,0.9992,SPEAKER_02
37.71,37.972,miembro,0.7070,0.9999,SPEAKER_02
38.012,38.133,del,0.5650,0.9999,SPEAKER_02
38.213,38.635,Consejo,0.8510,0.9591,SPEAKER_02
38.676,38.736,del,0.3340,0.9994,SPEAKER_02
39.078,39.299,Centro,0.8830,0.9999,SPEAKER_02
39.319,39.36,de,0.7500,0.9998,SPEAKER_02
39.38,39.661,Estudios,0.7390,0.9994,SPEAKER_02
39.822,40.164,"Públicos,",0.8830,0.9998,SPEAKER_02
41.13,41.391,harán,0.9840,0.9996,SPEAKER_02
42.397,42.477,un,0.8790,0.9974,SPEAKER_02
42.518,42.96,análisis,0.6720,1.0000,SPEAKER_02
42.94,43.364,de,0.6780,0.9998,SPEAKER_02
43.971,44.052,los,0.8300,0.9999,SPEAKER_02
44.133,44.759,antecedentes,0.9440,0.9999,SPEAKER_02
44.8,45.548,entregados,0.7070,0.9998,SPEAKER_02
45.588,45.628,en,0.4960,0.9999,SPEAKER_02
46.397,46.437,la,0.0030,0.9999,SPEAKER_02
46.457,46.74,encuesta.,0.3570,0.9998,SPEAKER_02
48.02,48.784,"Posteriormente,",0.7450,0.9997,SPEAKER_02
49.589,49.891,ustedes,0.7740,0.9987,SPEAKER_02
49.951,50.232,podrán,0.9670,0.9998,SPEAKER_02
50.776,50.936,hacer,0.9710,0.9996,SPEAKER_02
51.037,51.54,preguntas,0.9530,0.9998,SPEAKER_02
51.56,51.58,a,0.9990,0.9998,SPEAKER_02
52.344,52.425,los,0.9170,0.9998,SPEAKER_02
52.485,53.109,expositores,0.9050,0.9997,SPEAKER_02
53.149,53.169,o,0.9940,0.9977,SPEAKER_02
54.456,54.497,a,0.5760,0.9999,SPEAKER_02
54.517,54.597,los,0.8040,0.9998,SPEAKER_02
54.678,55.12,comentaristas.,0.4840,0.9976,SPEAKER_02
55.64,56.614,Así,0.9660,0.9970,SPEAKER_02
56.654,56.817,"que,",0.8170,0.9998,SPEAKER_02
56.959,57.344,iniciaremos,0.8610,0.9460,SPEAKER_02
57.364,58.034,de,0.4660,0.9988,SPEAKER_02
58.075,58.48,inmediato.,0.7080,0.9997,SPEAKER_02
59.28,60.127,Pidiéndole,0.8700,0.8719,SPEAKER_02
60.329,60.349,a,0.6630,0.9881,SPEAKER_02
61.177,61.257,don,0.8440,0.8615,SPEAKER_02
61.318,61.681,Roberto,0.7970,0.9908,SPEAKER_02
61.701,62.024,Méndez,0.8460,0.9988,SPEAKER_02
62.488,62.75,que,0.8730,0.9942,SPEAKER_02
62.791,63.295,presente,0.8100,0.9993,SPEAKER_02
63.376,63.477,los,0.7170,0.9999,SPEAKER_02
63.638,63.86,resultados.,0.0940,1.0000,SPEAKER_02
72.4,73.385,Como,0.9790,0.9745,SPEAKER_04
73.425,73.686,todos,0.6940,0.9984,SPEAKER_04
73.727,73.988,ustedes,0.7570,0.9996,SPEAKER_04
74.028,74.31,"saben,",0.9350,1.0000,SPEAKER_04
74.33,74.591,esta,0.3640,0.9997,SPEAKER_04
74.611,75.053,encuesta,0.8670,0.9999,SPEAKER_04
75.093,75.134,es,0.4970,0.9997,SPEAKER_04
75.475,75.777,parte,0.9540,0.9999,SPEAKER_04
75.817,75.857,de,0.6120,1.0000,SPEAKER_04
75.897,75.938,un,0.7680,0.9999,SPEAKER_04
75.998,76.52,esfuerzo,0.7590,0.9999,SPEAKER_04
76.561,77.706,continuado,0.9570,0.9997,SPEAKER_04
78.551,78.912,entre,0.9760,0.8159,SPEAKER_04
80.279,80.319,el,0.0000,0.9368,SPEAKER_04
80.34,80.46,Centro,0.1670,0.9781,SPEAKER_04
80.44,80.501,de,0.1600,0.9999,SPEAKER_04
80.561,80.965,Estudios,0.2800,0.9994,SPEAKER_04
81.045,81.388,"Públicos,",0.8440,0.9998,SPEAKER_04
81.429,81.509,le,0.7210,0.6545,SPEAKER_04
81.53,81.59,ha,0.4790,0.7953,SPEAKER_04
81.63,82.074,encargado,0.9010,0.9996,SPEAKER_04
82.095,82.115,a,0.9950,0.9974,SPEAKER_04
82.296,82.74,"DIMARC,",0.9460,0.8425,SPEAKER_04
83.285,83.406,y,0.9570,0.9946,SPEAKER_04
83.507,83.688,hemos,0.8020,0.9997,SPEAKER_04
83.749,83.89,hecho,0.6900,0.9999,SPEAKER_04
83.931,84.011,una,0.7250,0.9999,SPEAKER_04
84.132,84.294,serie,0.6430,0.9997,SPEAKER_04
84.334,84.395,de,0.3530,1.0000,SPEAKER_04
84.455,85.02,investigaciones,0.7330,0.9995,SPEAKER_04
85.0,85.675,que,0.5080,0.9979,SPEAKER_04
85.716,85.777,se,0.6250,0.9998,SPEAKER_04
85.818,86.289,iniciaron,0.9410,1.0000,SPEAKER_04
86.33,86.411,el,0.7980,0.9936,SPEAKER_04
86.452,86.657,año,0.7290,0.9999,SPEAKER_04
86.677,86.82,pasado.,0.1440,1.0000,SPEAKER_04
89.44,89.521,Y,0.2630,0.0533,SPEAKER_04
89.541,89.601,que,0.1440,0.6414,SPEAKER_04
89.903,90.346,ha,0.3100,0.8785,SPEAKER_04
90.869,91.473,"continuado,",0.9490,0.9949,SPEAKER_04
91.493,91.513,y,0.9710,0.9111,SPEAKER_04
91.714,91.795,que,0.4530,0.4790,SPEAKER_04
91.896,92.419,continuará,0.9670,0.9999,SPEAKER_04
