start,end,word,alignment_score,probability,speaker
0.0,0.202,La,0.9100,0.9800,SPEAKER_00
0.262,0.726,relegación,0.5620,0.9871,SPEAKER_00
0.767,1.392,administrativa,0.8130,0.9996,SPEAKER_00
1.412,1.473,sin,0.3330,0.8404,SPEAKER_00
1.856,2.078,pruebas,0.5300,0.9997,SPEAKER_00
2.199,2.28,ni,0.8480,0.9987,SPEAKER_00
2.34,3.006,justificación,0.9430,0.9997,SPEAKER_00
3.087,3.39,válida,0.8880,0.9997,SPEAKER_00
3.571,3.672,es,0.9170,0.9951,SPEAKER_00
3.753,3.813,la,0.9240,0.9999,SPEAKER_00
3.874,4.096,mejor,0.9120,0.9999,SPEAKER_00
4.136,4.6,demostración,0.2700,0.9999,SPEAKER_00
4.58,4.62,de,0.0400,0.9998,SPEAKER_00
5.003,5.063,la,0.8760,0.9999,SPEAKER_00
5.224,5.748,falsedad,0.9390,0.9983,SPEAKER_00
5.788,6.07,de,0.9020,0.9993,SPEAKER_00
6.11,6.171,las,0.6640,1.0000,SPEAKER_00
6.311,6.976,imputaciones,0.7290,0.9998,SPEAKER_00
6.996,7.298,"hechas,",0.7460,0.9854,SPEAKER_00
8.103,8.264,dice,0.5780,0.9974,SPEAKER_00
8.285,8.345,el,0.7490,0.9999,SPEAKER_00
8.405,8.768,documento,0.8600,0.9985,SPEAKER_00
8.808,8.848,de,0.4990,0.9998,SPEAKER_00
8.969,9.07,los,0.6360,0.9983,SPEAKER_00
9.11,9.593,familiares.,0.7930,0.9998,SPEAKER_00
10.157,10.64,"Exigimos,",0.2020,0.9955,SPEAKER_00
10.66,11.184,"agrega,",0.7670,0.9999,SPEAKER_00
11.365,11.426,en,0.9120,0.9995,SPEAKER_00
11.506,11.768,nombre,0.7300,1.0000,SPEAKER_00
11.809,11.889,de,0.5450,1.0000,SPEAKER_00
11.93,11.97,la,0.5760,1.0000,SPEAKER_00
12.091,12.595,justicia,0.9180,0.9999,SPEAKER_00
12.635,12.655,y,0.2500,0.9999,SPEAKER_00
12.675,12.756,de,0.5880,0.9999,SPEAKER_00
12.816,13.119,nuestra,0.8080,0.9998,SPEAKER_00
13.22,13.602,dignidad,0.8810,1.0000,SPEAKER_00
13.683,13.784,de,0.7400,0.9995,SPEAKER_00
13.864,14.207,"chilenos,",0.7110,0.9969,SPEAKER_00
14.751,14.812,la,0.9600,0.9999,SPEAKER_00
14.892,15.376,inmediata,0.8910,0.9999,SPEAKER_00
15.497,15.92,libertad,0.6850,0.9999,SPEAKER_00
15.9,16.162,de,0.2200,1.0000,SPEAKER_00
16.202,16.525,nuestros,0.6110,0.9994,SPEAKER_00
16.565,17.008,"parientes,",0.8830,0.9990,SPEAKER_00
17.653,17.734,el,0.8960,0.9998,SPEAKER_00
17.875,18.238,término,0.8140,1.0000,SPEAKER_00
18.298,18.359,de,0.9700,1.0000,SPEAKER_00
18.419,18.48,las,0.6450,1.0000,SPEAKER_00
18.581,19.185,relegaciones,0.7460,0.9995,SPEAKER_00
19.205,19.225,y,0.9580,0.9996,SPEAKER_00
19.79,19.911,su,0.5330,0.9993,SPEAKER_00
19.931,20.495,reintegro,0.9300,0.9995,SPEAKER_00
20.536,20.576,a,0.4450,0.9999,SPEAKER_00
20.616,20.959,nuestros,0.6980,0.9999,SPEAKER_00
20.979,21.14,hogares.,0.1600,0.9999,SPEAKER_00
21.86,22.404,"Asimismo,",0.8380,0.9825,SPEAKER_00
22.807,23.13,exige,0.6980,0.9251,SPEAKER_00
23.21,23.251,la,0.9930,0.9999,SPEAKER_00
23.311,23.735,derogación,0.9190,0.9975,SPEAKER_00
23.755,23.815,del,0.3320,1.0000,SPEAKER_00
23.835,24.319,nefasto,0.7030,0.9947,SPEAKER_00
24.359,24.783,artículo,0.9190,0.9997,SPEAKER_00
24.803,24.843,24,1.0000,0.9993,SPEAKER_00
25.025,26.133,transitorio,0.7960,0.9892,SPEAKER_00
26.153,26.194,de,0.4990,0.9999,SPEAKER_00
26.435,26.496,la,0.7150,1.0000,SPEAKER_00
26.577,27.04,Constitución,0.1900,0.9254,SPEAKER_00
27.02,27.215,de,0.1560,0.7960,SPEAKER_00
27.323,27.562,Primantiel.,0.1510,0.4525,SPEAKER_00
