start,end,word,alignment_score,probability,speaker
0.0,0.262,El,0.7420,0.9991,SPEAKER_03
0.322,0.645,22,0.6660,0.9999,SPEAKER_03
0.685,0.726,de,0.7880,1.0000,SPEAKER_03
0.786,1.129,"agosto,",0.9880,0.9999,SPEAKER_03
1.149,1.612,la,0.9480,1.0000,SPEAKER_03
1.673,2.096,oposición,0.8150,0.9999,SPEAKER_03
2.116,2.479,logró,0.7000,1.0000,SPEAKER_03
2.559,2.62,que,0.7260,1.0000,SPEAKER_03
2.64,2.68,la,0.4600,1.0000,SPEAKER_03
2.862,3.083,Cámara,0.9090,1.0000,SPEAKER_03
3.144,3.204,de,0.3860,1.0000,SPEAKER_03
3.225,3.769,Diputados,0.7730,1.0000,SPEAKER_03
3.809,4.615,aprobara,0.2850,0.9996,SPEAKER_03
4.716,4.776,un,0.6920,1.0000,SPEAKER_03
4.837,5.2,acuerdo,0.8200,1.0000,SPEAKER_03
5.22,5.28,que,0.3330,0.9999,SPEAKER_03
5.26,5.744,algunos,0.6150,1.0000,SPEAKER_03
5.825,6.269,usarían,0.8860,0.9999,SPEAKER_03
6.532,6.673,para,0.7140,1.0000,SPEAKER_03
6.754,7.279,denunciar,0.9790,1.0000,SPEAKER_03
7.38,7.44,la,0.9630,1.0000,SPEAKER_03
7.501,7.925,supuesta,0.9010,0.9999,SPEAKER_03
7.965,8.651,ilegalidad,0.4410,0.9999,SPEAKER_03
8.692,8.833,en,0.7840,1.0000,SPEAKER_03
8.914,8.954,la,0.9990,1.0000,SPEAKER_03
8.974,9.318,acción,0.8060,1.0000,SPEAKER_03
9.338,9.398,del,0.0000,1.0000,SPEAKER_03
9.419,9.6,gobierno.,0.1110,0.8087,SPEAKER_03
10.12,10.827,Así,0.7750,1.0000,SPEAKER_03
10.887,10.928,lo,0.9770,1.0000,SPEAKER_03
10.968,11.432,advirtió,0.7250,1.0000,SPEAKER_03
11.473,11.594,el,0.2390,1.0000,SPEAKER_03
11.654,12.018,diputado,0.9460,0.9999,SPEAKER_03
12.119,12.179,de,0.8560,1.0000,SPEAKER_03
12.22,12.26,la,0.9980,1.0000,SPEAKER_03
12.341,12.725,izquierda,0.9410,0.9843,SPEAKER_03
12.826,13.31,"cristiana,",0.9590,1.0000,SPEAKER_03
