start,end,word,alignment_score,probability,speaker
26.88,27.596,Muy,0.6510,0.7995,SPEAKER_05
27.637,27.78,buenas,0.6380,0.9992,SPEAKER_05
27.842,27.964,tardes,0.1710,1.0000,SPEAKER_05
27.985,28.005,a,0.6330,0.9963,SPEAKER_05
28.046,28.189,todos,0.7400,0.9999,SPEAKER_05
28.21,28.271,los,0.7020,0.9998,SPEAKER_05
28.333,28.68,asistentes.,0.2940,0.9999,SPEAKER_05
28.66,29.507,"Finalmente,",0.0740,0.5076,SPEAKER_05
29.527,30.031,continuando,0.9410,0.9990,SPEAKER_05
30.132,30.313,con,0.9750,0.9999,SPEAKER_05
31.019,31.08,la,0.9960,0.9996,SPEAKER_05
31.16,31.382,quinta,0.9300,0.9996,SPEAKER_05
31.442,31.725,sesión,0.8600,0.9998,SPEAKER_05
31.745,31.805,del,0.3350,0.9984,SPEAKER_05
32.37,32.773,Seminario,0.8390,0.8184,SPEAKER_05
32.793,32.834,de,0.3690,0.9642,SPEAKER_05
32.955,33.237,Formación,0.5020,0.9305,SPEAKER_05
33.398,33.64,"Democrática,",0.0800,0.9999,SPEAKER_05
34.66,34.882,el,0.7920,0.9995,SPEAKER_05
34.943,35.125,tema,0.9900,0.9999,SPEAKER_05
35.186,35.266,de,0.9340,1.0000,SPEAKER_05
35.347,35.469,hoy,0.8440,1.0000,SPEAKER_05
35.489,35.529,es,0.4880,0.9999,SPEAKER_05
36.196,36.661,precisiones,0.7560,0.8135,SPEAKER_05
36.722,36.782,en,0.6640,0.9996,SPEAKER_05
36.843,37.146,torno,0.9760,0.9999,SPEAKER_05
37.167,37.631,a,0.9110,1.0000,SPEAKER_05
37.692,37.753,un,0.9760,0.8193,SPEAKER_05
37.813,37.955,orden,0.9910,0.9998,SPEAKER_05
38.036,38.319,social,0.8400,1.0000,SPEAKER_05
38.339,38.46,libre.,0.1670,0.9998,SPEAKER_05
38.82,39.508,El,0.5560,0.9997,SPEAKER_05
39.568,40.033,expositor,0.8990,0.9997,SPEAKER_05
40.054,40.094,es,0.5000,1.0000,SPEAKER_05
40.458,40.681,el,0.6100,1.0000,SPEAKER_05
40.741,41.105,profesor,0.9450,0.9897,SPEAKER_05
41.126,41.591,Arturo,0.7590,0.9998,SPEAKER_05
41.672,41.995,Fontén,0.7060,0.6812,SPEAKER_05
42.016,42.44,"Talavera,",0.4700,0.9872,SPEAKER_05
42.44,43.251,que,0.6650,0.9952,SPEAKER_05
43.312,43.636,es,0.4720,1.0000,SPEAKER_05
43.657,44.082,licenciado,0.5690,0.9987,SPEAKER_05
44.103,44.143,en,0.4790,0.9995,SPEAKER_05
44.184,44.711,filosofía,0.9520,0.9586,SPEAKER_05
44.751,44.792,de,0.8710,0.9885,SPEAKER_05
44.833,44.873,la,0.9210,1.0000,SPEAKER_05
44.914,45.198,Universidad,0.3880,0.9999,SPEAKER_05
45.218,45.258,de,0.0200,1.0000,SPEAKER_05
45.279,45.4,"Chile,",0.1640,0.9999,SPEAKER_05
46.1,46.837,máster,0.7290,0.9975,SPEAKER_05
46.857,46.919,en,0.9130,0.9998,SPEAKER_05
46.939,47.246,filosofía,0.5410,1.0000,SPEAKER_05
47.267,47.307,de,0.0000,0.9828,SPEAKER_05
