start,end,word,alignment_score,probability,speaker
4.48,5.336,...al,0.9180,0.5667,SPEAKER_06
5.479,5.642,Centro,0.5440,0.8031,SPEAKER_06
5.663,5.704,de,0.0060,0.9624,SPEAKER_06
5.724,5.948,Estudios,0.8460,0.9982,SPEAKER_06
6.071,6.58,Públicos.,0.9160,0.9998,SPEAKER_06
8.06,8.887,El,0.7460,0.9999,SPEAKER_06
8.988,9.17,tema,0.9740,1.0000,SPEAKER_06
9.23,9.291,de,0.5960,1.0000,SPEAKER_06
9.311,9.473,esta,0.7930,1.0000,SPEAKER_06
9.553,9.816,tarde,0.9380,1.0000,SPEAKER_06
9.856,9.896,es,0.4990,1.0000,SPEAKER_06
10.078,10.421,el,0.7200,1.0000,SPEAKER_06
10.966,11.269,trabajo,0.8810,0.9999,SPEAKER_06
11.309,11.349,de,0.9880,1.0000,SPEAKER_06
11.39,11.43,la,0.9800,1.0000,SPEAKER_06
11.49,11.834,doctora,0.9280,0.9940,SPEAKER_06
12.076,12.439,Francis,0.8710,0.6369,SPEAKER_06
12.459,12.58,"Cohn,",0.2210,0.7900,SPEAKER_06
12.74,13.103,que,0.6830,0.9999,SPEAKER_06
13.123,13.244,está,0.8630,1.0000,SPEAKER_06
13.264,13.345,con,0.7530,1.0000,SPEAKER_06
13.406,13.789,"nosotros,",0.8130,1.0000,SPEAKER_06
13.829,15.08,sobre,0.6500,1.0000,SPEAKER_06
15.12,15.161,el,0.7300,1.0000,SPEAKER_06
15.241,15.746,concepto,0.9760,1.0000,SPEAKER_06
16.795,16.855,de,0.9700,1.0000,SPEAKER_06
16.956,17.198,clase,0.7700,0.9994,SPEAKER_06
17.218,17.44,social.,0.2480,1.0000,SPEAKER_06
31.72,32.587,Hay,0.6850,0.3925,SPEAKER_06
32.789,32.849,un,0.9820,0.9993,SPEAKER_06
32.889,33.111,cierto,0.8370,0.9998,SPEAKER_06
33.172,33.797,comportamiento,0.9580,1.0000,SPEAKER_06
33.837,34.462,ilícito,0.9160,0.9999,SPEAKER_06
34.502,34.522,y,0.9750,0.9800,SPEAKER_06
34.542,35.712,contrario,0.9170,1.0000,SPEAKER_06
35.732,35.772,al,0.4530,0.9983,SPEAKER_06
35.792,36.317,ordenamiento,0.6880,1.0000,SPEAKER_06
36.337,36.76,institucional,0.1590,0.9999,SPEAKER_06
36.74,36.884,de,0.2830,0.9996,SPEAKER_06
37.069,37.131,la,0.2520,0.9997,SPEAKER_06
37.192,37.542,República,0.7810,0.8513,SPEAKER_06
37.583,37.624,en,0.7320,0.8863,SPEAKER_06
37.665,37.768,una,0.6720,0.9986,SPEAKER_06
37.829,37.994,serie,0.8530,1.0000,SPEAKER_06
38.014,38.097,de,0.8260,1.0000,SPEAKER_06
38.117,38.241,casos.,0.1670,1.0000,SPEAKER_06
39.26,39.482,Uno,0.7000,0.9996,SPEAKER_06
39.522,39.603,de,0.7620,1.0000,SPEAKER_06
39.704,39.925,ellos,0.8840,1.0000,SPEAKER_06
39.966,40.792,afecta,0.9690,0.9997,SPEAKER_06
40.812,40.833,a,0.0070,0.9990,SPEAKER_06
40.913,41.034,todo,0.8870,0.9988,SPEAKER_06
41.054,41.135,acto,0.2410,0.9998,SPEAKER_06
41.397,41.458,de,0.8930,0.9995,SPEAKER_06
41.518,41.8,persona,0.9120,0.9995,SPEAKER_06
41.82,41.841,o,0.9740,0.9996,SPEAKER_06
41.941,42.183,grupo,0.7870,0.9999,SPEAKER_06
42.224,43.333,destinado,0.9370,0.9984,SPEAKER_06
43.353,43.373,a,0.7920,1.0000,SPEAKER_06
43.413,43.857,propagar,0.8310,0.9986,SPEAKER_06
43.877,44.28,doctrinas,0.4000,0.9998,SPEAKER_06
44.26,44.604,que,0.4830,0.9989,SPEAKER_06
44.624,44.947,atenten,0.6100,0.9760,SPEAKER_06
44.988,45.129,contra,0.7180,0.8762,SPEAKER_06
45.169,45.271,una,0.7390,0.9999,SPEAKER_06
45.392,45.574,serie,0.8940,0.9998,SPEAKER_06
45.614,45.655,de,0.6920,1.0000,SPEAKER_06
45.756,46.099,"cosas,",0.8830,0.9999,SPEAKER_06
46.928,47.15,entre,0.8430,0.9992,SPEAKER_06
47.211,47.393,ellas,0.8040,1.0000,SPEAKER_06
47.615,47.676,las,0.4830,0.9911,SPEAKER_06
47.716,47.959,doctrinas,0.2420,0.9996,SPEAKER_06
47.979,48.039,que,0.0010,0.9998,SPEAKER_06
48.06,48.12,son,0.3320,1.0000,SPEAKER_06
48.1,48.14,de,0.0710,0.9991,SPEAKER_06
48.181,48.646,carácter,0.3280,1.0000,SPEAKER_06
48.706,49.333,totalitario,0.9590,0.9999,SPEAKER_06
49.353,49.373,o,1.0000,0.9974,SPEAKER_06
50.081,50.626,fundada,0.9990,0.9485,SPEAKER_06
50.99,51.071,en,0.6180,0.9999,SPEAKER_06
51.132,51.192,la,0.9980,0.9996,SPEAKER_06
51.253,51.455,lucha,0.9270,0.9999,SPEAKER_06
51.516,51.596,de,0.7960,0.9998,SPEAKER_06
51.677,51.96,clases.,0.6030,0.9997,SPEAKER_06
52.88,53.828,Y,0.9280,0.9436,SPEAKER_06
53.848,54.15,emerge,0.7460,0.9978,SPEAKER_06
54.191,54.291,tal,0.5010,0.9924,SPEAKER_06
54.352,54.412,vez,0.6490,1.0000,SPEAKER_06
54.433,54.574,este,0.6340,0.7415,SPEAKER_06
54.614,54.876,trabajo,0.8260,0.9998,SPEAKER_06
54.916,55.017,la,0.6220,0.8719,SPEAKER_06
55.058,55.562,posibilidad,0.6180,1.0000,SPEAKER_06
55.602,55.723,de,0.4370,1.0000,SPEAKER_06
55.804,55.965,que,0.9180,1.0000,SPEAKER_06
56.933,56.993,no,0.7900,0.9994,SPEAKER_06
57.094,57.296,haya,0.7580,0.4622,SPEAKER_06
57.417,57.659,clases,0.5480,0.9990,SPEAKER_06
57.679,57.86,sociales.,0.1120,0.9997,SPEAKER_06
60.0,60.604,Esa,0.8380,0.9871,SPEAKER_06
60.624,60.664,es,0.9120,1.0000,SPEAKER_06
60.745,60.825,una,0.7080,1.0000,SPEAKER_06
60.886,61.087,manera,0.8590,1.0000,SPEAKER_06
61.369,61.449,de,0.8110,1.0000,SPEAKER_06
