start,end,word,alignment_score,probability,speaker
0.0,0.765,"Bueno,",0.4980,0.0945,SPEAKER_11
1.369,1.449,pues,0.1510,0.2826,SPEAKER_11
1.489,1.973,quisiera,0.8510,0.9365,SPEAKER_11
2.939,2.999,en,0.9610,0.9016,SPEAKER_11
3.039,3.2,esta,0.7830,1.0000,SPEAKER_11
3.261,3.542,tercera,0.9800,0.9999,SPEAKER_11
3.623,3.925,sesión,0.8510,0.9998,SPEAKER_11
3.945,4.005,del,0.3330,0.9997,SPEAKER_11
4.026,5.032,seminario,0.8240,0.9853,SPEAKER_11
5.052,5.112,del,0.3360,0.9615,SPEAKER_11
5.394,5.656,Sistema,0.9600,0.9597,SPEAKER_11
5.757,6.139,Financiero,0.8190,0.9988,SPEAKER_11
6.159,6.199,en,0.0000,0.9848,SPEAKER_11
6.219,6.32,Chile,0.2000,1.0000,SPEAKER_11
6.3,6.36,que,0.1700,0.6386,SPEAKER_11
6.38,6.421,ha,0.1840,0.9992,SPEAKER_11
6.441,6.964,estado,0.5760,0.9999,SPEAKER_11
7.789,8.614,realizándose,0.9550,0.9811,SPEAKER_11
8.674,8.715,en,0.0890,0.9292,SPEAKER_11
8.735,8.775,el,0.0070,0.9102,SPEAKER_11
8.795,8.976,"CEP,",0.8270,0.8636,SPEAKER_11
10.002,10.465,presentar,0.7820,0.9999,SPEAKER_11
10.526,10.546,a,0.0010,0.9992,SPEAKER_11
10.566,10.707,alguien,0.1130,1.0000,SPEAKER_11
10.787,10.868,que,0.6840,0.9999,SPEAKER_11
10.908,11.169,no,0.9780,0.9999,SPEAKER_11
11.491,11.954,necesita,0.9800,0.9999,SPEAKER_11
12.075,12.336,mucha,0.8280,0.9996,SPEAKER_11
12.417,12.94,"presentación,",0.4450,0.9999,SPEAKER_11
13.04,14.066,don,0.8270,0.9856,SPEAKER_11
14.086,14.347,Carlos,0.6390,0.9972,SPEAKER_11
14.367,14.81,"Gurenda,",0.9430,0.8529,SPEAKER_11
15.594,15.876,quien,0.7340,0.9998,SPEAKER_11
16.137,16.499,va,0.9960,1.0000,SPEAKER_11
16.52,16.54,a,0.9970,1.0000,SPEAKER_11
17.686,17.927,hablar,0.9240,1.0000,SPEAKER_11
