start,end,word,alignment_score,probability,speaker
19.74,21.049,Cuando,0.7360,0.8783,SPEAKER_02
21.11,21.573,la,0.8360,0.9927,SPEAKER_02
21.815,22.339,gente,0.7660,0.9948,SPEAKER_02
22.359,22.621,está,0.6180,0.8703,SPEAKER_02
23.386,23.93,triste,0.3620,0.9992,SPEAKER_02
23.95,23.97,y,0.1910,0.7764,SPEAKER_02
23.99,24.172,vive,0.4340,0.6250,SPEAKER_02
24.494,24.554,sin,0.1690,0.9891,SPEAKER_02
24.716,25.36,sonreír,0.4580,0.9881,SPEAKER_02
25.34,26.691,Cuando,0.7460,0.4321,SPEAKER_02
27.336,27.537,los,0.4430,0.8892,SPEAKER_02
27.557,29.291,diarios,0.2090,0.9919,SPEAKER_02
29.311,29.351,no,0.0220,0.9876,SPEAKER_02
29.371,29.472,hacen,0.0080,0.9949,SPEAKER_02
29.492,29.996,nada,0.3290,0.9916,SPEAKER_02
30.016,30.077,más,0.0020,0.5337,SPEAKER_02
30.097,30.359,que,0.4100,0.9051,SPEAKER_02
30.379,30.5,mentir,0.1880,0.8108,SPEAKER_02
30.48,31.428,Cuando,0.7990,0.5775,SPEAKER_02
31.67,31.891,no,0.7350,0.9837,SPEAKER_02
31.992,32.436,queda,0.7230,0.8469,SPEAKER_02
32.496,33.867,emisora,0.7720,0.7939,SPEAKER_02
33.888,34.109,que,0.7200,0.9618,SPEAKER_02
34.21,34.734,diga,0.8130,0.9991,SPEAKER_02
34.755,35.138,la,0.7240,0.9987,SPEAKER_02
35.158,35.44,verdad,0.4020,0.9997,SPEAKER_02
35.42,36.509,Hay,0.2930,0.9488,SPEAKER_02
36.529,38.95,una,0.8310,0.9981,SPEAKER_02
38.97,39.575,"solución,",0.2550,0.9955,SPEAKER_02
39.595,39.999,ya,0.6920,0.9952,SPEAKER_02
40.019,40.059,lo,0.0290,0.9916,SPEAKER_02
40.079,40.18,verás,0.1860,0.8218,SPEAKER_02
40.9,41.745,Igual,0.4010,0.9782,SPEAKER_02
41.766,41.967,que,0.5490,0.9936,SPEAKER_02
42.128,43.094,"tú,",0.4260,0.9685,SPEAKER_02
43.114,43.698,"igual,",0.1870,0.9979,SPEAKER_02
43.718,44.382,igual,0.7100,0.9971,SPEAKER_02
45.389,45.469,que,0.6150,0.9965,SPEAKER_02
45.55,46.315,"tú,",0.3830,0.9988,SPEAKER_02
46.335,46.476,"igual,",0.2520,0.9997,SPEAKER_02
46.496,46.657,igual,0.4750,0.9983,SPEAKER_02
46.677,46.798,que,0.2560,0.9980,SPEAKER_02
46.818,47.12,tú,0.8740,0.9893,SPEAKER_02
47.1,47.807,La,0.2310,0.5259,SPEAKER_00
47.827,48.15,canción,0.7000,0.8773,SPEAKER_00
48.17,48.21,a,0.7690,0.8713,SPEAKER_00
48.352,48.675,Radio,0.2800,0.4840,SPEAKER_00
48.695,49.18,Moscú,0.6110,0.9661,SPEAKER_00
49.2,49.462,creada,0.8160,0.8028,SPEAKER_00
49.523,49.604,en,0.8640,0.9996,SPEAKER_00
49.987,50.169,Chile,0.2550,0.9866,SPEAKER_00
50.613,50.815,en,0.6180,0.9370,SPEAKER_00
50.855,51.36,1966,0.7520,0.4778,SPEAKER_00
52.6,53.574,Tenía,0.4940,0.6453,SPEAKER_00
53.635,53.696,de,0.6530,0.7578,SPEAKER_00
53.838,53.94,los,0.2910,0.9958,SPEAKER_00
53.96,54.528,periodos,0.4160,0.9613,SPEAKER_00
54.549,54.691,más,0.3670,0.9989,SPEAKER_00
54.833,54.995,negros,0.1470,0.9424,SPEAKER_00
55.016,55.056,de,0.0060,0.9767,SPEAKER_00
55.076,55.34,Latinoamérica,0.0830,0.7836,SPEAKER_00
55.34,55.565,La,0.2810,0.0571,SPEAKER_00
55.586,55.933,represión,0.6390,0.5704,SPEAKER_00
55.954,55.995,de,0.4800,0.2894,SPEAKER_00
56.056,56.158,un,0.5540,0.9845,SPEAKER_00
56.179,56.69,régimen,0.4620,0.9957,SPEAKER_00
56.711,57.14,fascista,0.4100,0.9704,SPEAKER_00
57.12,58.092,Que,0.6900,0.0006,SPEAKER_00
58.153,58.457,estrenó,0.5070,0.8022,SPEAKER_00
58.498,58.538,en,0.7980,0.9771,SPEAKER_00
58.599,58.68,las,0.8120,0.5286,SPEAKER_00
58.781,58.984,gran,0.9490,0.5942,SPEAKER_00
59.146,59.328,salas,0.7990,0.9471,SPEAKER_00
59.349,59.531,del,0.5870,0.6791,SPEAKER_00
59.551,59.977,tercer,0.9090,0.9015,SPEAKER_00
59.997,60.26,piso,0.5840,0.9405,SPEAKER_00
60.24,60.954,Del,0.6880,0.4593,SPEAKER_00
60.995,61.464,edificio,0.6580,0.9935,SPEAKER_00
61.505,61.628,de,0.6270,0.9566,SPEAKER_00
61.75,61.995,Radio,0.2500,0.6694,SPEAKER_00
62.016,62.26,Moscú,0.5430,0.5243,SPEAKER_00
62.24,63.211,La,0.4220,0.2130,SPEAKER_00
63.231,63.878,abandonada,0.6220,0.6864,SPEAKER_00
63.898,64.202,segunda,0.4420,0.2634,SPEAKER_00
64.343,64.727,textual,0.5430,0.5987,SPEAKER_00
64.748,64.788,en,0.2760,0.7757,SPEAKER_00
64.889,65.233,víspera,0.4380,0.9148,SPEAKER_00
65.334,65.395,de,0.4650,0.4557,SPEAKER_00
65.415,65.577,la,0.6210,0.9202,SPEAKER_00
65.597,65.88,libertad,0.4050,0.9096,SPEAKER_00
65.86,66.366,De,0.7040,0.4703,SPEAKER_00
66.832,66.893,la,0.7200,0.9397,SPEAKER_00
67.095,67.217,gran,0.6390,0.9470,SPEAKER_00
67.298,68.169,revolución,0.3390,0.9961,SPEAKER_00
68.189,68.554,socialista,0.3730,0.9871,SPEAKER_00
68.675,68.716,de,0.0260,0.9546,SPEAKER_00
68.736,69.08,octubre,0.2410,0.9449,SPEAKER_00
69.06,69.524,El,0.4480,0.1210,SPEAKER_01
69.545,69.827,señor,0.3410,0.5174,SPEAKER_01
69.847,70.312,Giorgio,0.3980,0.7292,SPEAKER_01
70.493,71.038,"Viznati,",0.5870,0.5858,SPEAKER_01
71.059,71.503,presidente,0.9140,0.8719,SPEAKER_01
71.523,71.584,del,0.0160,0.9732,SPEAKER_01
71.745,72.068,Comité,0.9160,0.7961,SPEAKER_01
72.129,72.452,Estatal,0.7450,0.9254,SPEAKER_01
72.512,72.573,de,0.4860,0.9638,SPEAKER_01
72.694,72.876,Radio,0.8620,0.9927,SPEAKER_01
72.896,72.936,y,0.1100,0.9872,SPEAKER_01
72.997,73.36,Televisión,0.2590,0.9921,SPEAKER_01
73.34,73.401,De,0.1920,0.3037,SPEAKER_01
73.644,73.704,la,0.2480,0.9964,SPEAKER_01
73.725,73.846,Unión,0.5770,0.9864,SPEAKER_01
73.947,74.454,"Soviética,",0.8260,0.9931,SPEAKER_01
74.919,75.162,abrió,0.1020,0.9296,SPEAKER_01
75.183,75.486,con,0.4120,0.9745,SPEAKER_01
75.507,75.993,sentimientos,0.2250,0.5177,SPEAKER_01
76.013,76.053,y,0.9130,0.2880,SPEAKER_01
76.094,76.438,emotivas,0.5050,0.8381,SPEAKER_01
76.458,76.62,palabras,0.1250,0.9893,SPEAKER_01
76.6,76.742,De,0.4940,0.2751,SPEAKER_01
77.047,77.189,esta,0.5860,0.9584,SPEAKER_01
77.25,77.555,velada,0.9460,0.9986,SPEAKER_01
78.022,78.245,cuyo,0.4700,0.8656,SPEAKER_01
78.306,78.428,tema,0.9440,0.9990,SPEAKER_01
78.448,79.037,central,0.6120,0.9994,SPEAKER_01
79.058,79.118,fue,0.0030,0.9942,SPEAKER_01
79.139,79.24,Chile,0.1920,0.9931,SPEAKER_01
79.22,80.129,O,0.8140,0.9287,SPEAKER_01
80.149,80.371,"mejor,",0.9620,0.9929,SPEAKER_01
80.412,80.937,la,0.7540,0.7407,SPEAKER_01
80.957,81.441,solidaridad,0.3730,0.9984,SPEAKER_01
81.522,81.623,del,0.5340,0.9929,SPEAKER_01
81.684,81.926,pueblo,0.4150,0.9945,SPEAKER_01
82.068,82.532,soviético,0.7800,0.9426,SPEAKER_01
82.572,82.774,hacia,0.2310,0.9048,SPEAKER_01
82.795,82.855,el,0.8240,0.9988,SPEAKER_01
82.916,83.138,pueblo,0.9100,0.9976,SPEAKER_01
83.198,83.38,occidente,0.1110,0.4542,SPEAKER_01
83.36,83.748,La,0.4790,0.7255,SPEAKER_01
84.34,84.646,amistad,0.3650,0.9850,SPEAKER_01
84.667,84.85,soviética,0.0000,0.9224,SPEAKER_01
84.871,84.891,y,0.1500,0.7531,SPEAKER_01
84.912,84.952,la,0.0590,0.3817,SPEAKER_01
84.973,85.34,libertad,0.2880,0.6353,SPEAKER_01
85.34,85.762,Chileana,0.2120,0.0999,SPEAKER_01
85.74,86.407,Con,0.3090,0.0004,SPEAKER_01
86.427,86.851,motivo,0.7830,0.4476,SPEAKER_01
87.174,87.275,de,0.7170,0.8987,SPEAKER_01
87.376,87.437,los,0.0080,0.9924,SPEAKER_01
87.457,87.699,10,0.6770,0.4903,SPEAKER_01
87.719,87.941,años,0.6540,0.9891,SPEAKER_01
87.962,88.002,ya,0.4950,0.9009,SPEAKER_01
88.325,88.77,cumplidos,0.7030,0.9672,SPEAKER_01
89.073,89.416,del,0.5510,0.8722,SPEAKER_01
89.436,89.719,programa,0.3620,0.8543,SPEAKER_01
89.739,89.86,radial,0.1760,0.9326,SPEAKER_01
89.84,91.157,Escuche,0.4220,0.4580,SPEAKER_01
