start,end,word,alignment_score,probability,speaker
0.0,0.785,Bienvenidos,0.9090,0.9999,SPEAKER_00
0.805,0.845,al,0.4960,0.9993,SPEAKER_00
1.187,1.408,Centro,0.7140,0.9952,SPEAKER_00
1.429,1.469,de,0.5800,0.9991,SPEAKER_00
1.509,1.73,Estudios,0.4600,0.9990,SPEAKER_00
1.811,2.274,Públicos,0.8120,0.9998,SPEAKER_00
2.314,2.334,a,0.9920,0.9497,SPEAKER_00
3.219,3.36,esta,0.7960,0.9999,SPEAKER_00
3.38,3.823,segunda,0.8680,1.0000,SPEAKER_00
3.843,4.769,charla,0.5700,0.9999,SPEAKER_00
5.473,5.855,del,0.8840,0.9990,SPEAKER_00
5.956,6.358,profesor,0.7520,0.9020,SPEAKER_00
6.378,6.68,Mesmecker,0.3960,0.6903,SPEAKER_00
6.66,7.634,sobre,0.5010,0.9971,SPEAKER_00
7.675,7.756,el,0.4630,1.0000,SPEAKER_00
7.878,8.101,marco,0.9620,0.9996,SPEAKER_00
8.162,8.446,legal,0.7040,1.0000,SPEAKER_00
8.527,8.629,para,0.8440,1.0000,SPEAKER_00
8.69,8.771,una,0.9150,1.0000,SPEAKER_00
8.791,9.157,economía,0.7310,0.9999,SPEAKER_00
9.177,9.218,de,0.0410,0.9996,SPEAKER_00
9.238,9.4,mercado.,0.1240,0.9724,SPEAKER_00
10.44,11.187,Alguien,0.7110,0.9999,SPEAKER_00
11.228,11.268,le,0.7420,1.0000,SPEAKER_00
11.329,11.652,preguntó,0.9800,0.9999,SPEAKER_00
11.692,11.732,el,0.2720,0.9964,SPEAKER_00
11.753,11.914,otro,0.5030,0.9993,SPEAKER_00
11.975,12.157,día,0.8950,1.0000,SPEAKER_00
12.197,12.237,al,0.4200,0.9999,SPEAKER_00
12.338,12.742,profesor,0.5730,1.0000,SPEAKER_00
12.783,13.328,Mesmecker,0.6280,0.9999,SPEAKER_00
13.388,13.449,si,0.6040,0.9851,SPEAKER_00
13.469,13.53,en,0.5760,0.9997,SPEAKER_00
13.59,13.813,tiempos,0.7810,0.9990,SPEAKER_00
13.893,13.994,como,0.9740,1.0000,SPEAKER_00
14.035,14.156,los,0.6280,1.0000,SPEAKER_00
14.216,14.358,que,0.4890,1.0000,SPEAKER_00
14.378,14.6,corren,0.5520,0.9995,SPEAKER_00
14.58,15.813,había,0.6530,0.9772,SPEAKER_00
15.874,15.954,que,0.8310,1.0000,SPEAKER_00
16.015,16.136,ser,0.9860,1.0000,SPEAKER_00
16.621,17.309,dogmático,0.9850,0.9998,SPEAKER_00
17.612,17.774,o,0.8790,1.0000,SPEAKER_00
17.895,18.4,pragmático.,0.5250,0.9999,SPEAKER_00
18.68,19.426,El,0.7540,1.0000,SPEAKER_00
19.467,19.81,profesor,0.3390,1.0000,SPEAKER_00
19.85,20.435,Mesmecker,0.5660,0.9999,SPEAKER_00
20.455,20.939,"respondió,",0.9210,1.0000,SPEAKER_00
20.959,21.0,ni,0.4980,0.9999,SPEAKER_00
21.786,22.412,dogmático,0.8600,0.9999,SPEAKER_00
22.432,22.472,ni,0.4960,0.9858,SPEAKER_00
22.936,23.4,pragmático.,0.4540,1.0000,SPEAKER_00
23.5,23.923,Creo,0.8780,0.9996,SPEAKER_00
23.983,24.064,que,0.4880,1.0000,SPEAKER_00
24.084,24.205,esta,0.3220,1.0000,SPEAKER_00
24.225,24.749,respuesta,0.8310,1.0000,SPEAKER_00
24.789,25.353,rechaza,0.4120,0.9103,SPEAKER_00
25.453,25.635,bien,0.9510,0.9987,SPEAKER_00
25.675,25.735,la,0.9840,1.0000,SPEAKER_00
25.756,26.118,actitud,0.8010,1.0000,SPEAKER_00
26.138,26.199,con,0.3320,0.9999,SPEAKER_00
26.239,26.601,que,0.4210,0.9870,SPEAKER_00
26.622,26.662,el,0.1340,1.0000,SPEAKER_00
26.682,27.085,profesor,0.5320,1.0000,SPEAKER_00
27.105,27.628,Mesmecker,0.6150,0.9998,SPEAKER_00
27.709,28.192,enfrenta,0.8930,0.9998,SPEAKER_00
28.233,28.515,sus,0.8180,0.9982,SPEAKER_00
29.199,29.32,temas.,0.1660,0.9999,SPEAKER_00
30.0,30.483,Su,0.9160,0.8841,SPEAKER_00
30.543,31.066,extensa,0.9440,0.9998,SPEAKER_00
31.106,31.649,"obra,",0.9410,1.0000,SPEAKER_00
32.032,32.132,más,0.8070,0.9998,SPEAKER_00
32.172,32.233,de,0.5050,1.0000,SPEAKER_00
32.313,32.454,diez,0.8770,0.4292,SPEAKER_00
32.514,32.957,volúmenes,0.8470,0.9997,SPEAKER_00
33.037,33.239,según,0.7420,0.8247,SPEAKER_00
33.259,33.299,me,0.3700,1.0000,SPEAKER_00
33.359,33.741,"informan,",0.7550,0.9997,SPEAKER_00
33.802,33.943,aquí,0.5280,0.9989,SPEAKER_00
33.963,34.063,hay,0.6670,1.0000,SPEAKER_00
34.184,34.425,tres,0.7980,0.9998,SPEAKER_00
35.793,35.974,libros,0.7040,0.7325,SPEAKER_00
36.014,36.376,bastante,0.9380,0.9993,SPEAKER_00
36.477,36.739,gordos,0.7630,0.9999,SPEAKER_00
36.779,36.879,en,0.1820,0.9998,SPEAKER_00
36.899,37.02,alemán,0.1670,0.9994,SPEAKER_00
37.0,37.342,que,0.2840,0.9717,SPEAKER_00
37.362,37.483,no,0.1060,1.0000,SPEAKER_00
37.543,37.744,leo,0.7950,0.9997,SPEAKER_00
37.785,37.845,así,0.3410,0.3035,SPEAKER_00
37.885,37.946,que,0.7940,1.0000,SPEAKER_00
38.006,38.066,no,0.5140,1.0000,SPEAKER_00
38.106,38.247,puedo,0.6690,0.9998,SPEAKER_00
38.288,38.469,hablar,0.6070,1.0000,SPEAKER_00
38.549,38.609,de,0.7720,0.9994,SPEAKER_00
38.67,38.951,"ellos,",0.8690,1.0000,SPEAKER_00
40.219,40.46,tienen,0.7630,0.9906,SPEAKER_00
40.5,40.601,que,0.8000,1.0000,SPEAKER_00
40.681,40.842,ver,0.9890,1.0000,SPEAKER_00
41.044,42.251,"con,",0.7100,0.4247,SPEAKER_00
42.271,42.331,no,0.8950,1.0000,SPEAKER_00
42.391,42.613,tanto,0.9710,1.0000,SPEAKER_00
42.673,42.774,con,0.8090,1.0000,SPEAKER_00
42.834,42.874,el,0.7320,1.0000,SPEAKER_00
42.995,43.297,tipo,0.6790,1.0000,SPEAKER_00
43.317,43.357,de,0.4430,1.0000,SPEAKER_00
43.397,43.759,sociedad,0.6760,0.9963,SPEAKER_00
43.78,43.88,libre,0.2000,0.9314,SPEAKER_00
43.86,43.9,a,0.0900,0.9990,SPEAKER_00
44.182,44.243,la,0.4740,1.0000,SPEAKER_00
44.263,44.444,cual,0.5070,0.9999,SPEAKER_00
44.464,44.908,aspiramos,0.7200,1.0000,SPEAKER_00
45.794,45.996,como,0.8660,0.9535,SPEAKER_00
46.076,46.359,"meta,",0.9570,0.9959,SPEAKER_00
46.479,46.6,sino,0.8520,0.9998,SPEAKER_00
46.701,46.782,que,0.7480,1.0000,SPEAKER_00
46.822,46.983,más,0.3710,0.9999,SPEAKER_00
47.003,47.225,bien,0.8960,1.0000,SPEAKER_00
47.265,47.91,su,0.9240,0.9975,SPEAKER_00
48.011,48.192,tema,0.9530,1.0000,SPEAKER_00
48.273,48.394,como,0.9440,1.0000,SPEAKER_00
48.454,49.22,académico,0.9370,1.0000,SPEAKER_00
49.24,49.28,es,0.5000,0.9995,SPEAKER_00
49.26,50.286,qué,0.7000,0.9404,SPEAKER_00
50.326,50.406,hay,0.7420,1.0000,SPEAKER_00
50.446,50.527,que,0.8520,1.0000,SPEAKER_00
