start,end,word,alignment_score,probability,speaker
0.0,0.685,"Sofía,",0.7980,0.9615,SPEAKER_01
0.705,1.612,Angélica,0.7750,0.9993,SPEAKER_01
1.652,1.672,y,0.9920,0.9988,SPEAKER_01
1.793,2.297,Cecilia,0.6900,0.9994,SPEAKER_01
2.398,3.264,"Pratt,",0.6740,0.9214,SPEAKER_01
3.284,3.566,todas,0.5360,0.9994,SPEAKER_01
3.586,3.828,ellas,0.4790,0.9990,SPEAKER_01
3.949,4.191,hijas,0.8040,0.9994,SPEAKER_01
4.231,4.473,del,0.5880,0.9358,SPEAKER_01
4.553,4.936,general,0.6540,0.8103,SPEAKER_01
4.997,5.339,Carlos,0.6680,0.9995,SPEAKER_01
5.359,5.48,"Pratt,",0.1660,0.9998,SPEAKER_01
5.94,6.968,desmintieron,0.6170,0.9832,SPEAKER_01
7.049,7.15,que,0.7950,0.9998,SPEAKER_01
7.21,7.271,el,0.9620,0.6777,SPEAKER_01
7.351,7.613,libro,0.9810,0.9999,SPEAKER_01
7.634,8.037,Una,0.9320,0.8371,SPEAKER_01
8.118,8.279,Vida,0.9900,0.7298,SPEAKER_01
8.319,8.521,por,0.7490,0.9988,SPEAKER_01
8.601,8.682,la,0.9620,1.0000,SPEAKER_01
8.743,9.166,Legalidad,0.9240,0.9960,SPEAKER_01
9.186,9.267,haya,0.2480,0.9961,SPEAKER_01
9.287,9.993,sido,0.7330,1.0000,SPEAKER_01
10.053,10.477,escrito,0.8720,1.0000,SPEAKER_01
10.557,10.739,por,0.7460,1.0000,SPEAKER_01
10.759,10.799,su,0.0000,0.9993,SPEAKER_01
10.819,10.92,padre,0.1990,0.9999,SPEAKER_01
10.9,10.981,y,0.1360,0.8138,SPEAKER_01
11.083,11.755,lo,0.7040,0.9998,SPEAKER_01
11.918,12.447,calificaron,0.5290,0.9997,SPEAKER_01
12.467,12.528,de,0.9510,1.0000,SPEAKER_01
12.732,13.22,apócrifo.,0.4640,0.9375,SPEAKER_01
13.72,14.547,Manifestamos,0.7860,0.9991,SPEAKER_02
14.567,15.998,"nuevamente,",0.7090,0.9999,SPEAKER_02
16.018,16.139,"dicen,",0.0490,0.9973,SPEAKER_02
16.159,16.24,que,0.9170,1.0000,SPEAKER_02
16.28,16.704,nuestro,0.4670,0.9997,SPEAKER_02
16.724,17.026,padre,0.7880,0.9999,SPEAKER_02
17.067,17.611,no,0.8120,0.9999,SPEAKER_02
17.671,17.772,es,0.2460,1.0000,SPEAKER_02
17.792,18.014,el,0.6390,1.0000,SPEAKER_02
18.054,18.256,autor,0.5100,0.9999,SPEAKER_02
18.276,18.397,de,0.7540,0.9190,SPEAKER_02
18.417,18.659,dicho,0.6570,0.7255,SPEAKER_02
18.679,18.78,libro,0.1990,1.0000,SPEAKER_02
18.76,19.565,y,0.7320,0.5625,SPEAKER_02
19.625,20.028,añaden,0.6420,0.9709,SPEAKER_02
20.732,20.813,que,0.7120,0.9980,SPEAKER_02
21.014,21.276,todo,0.5430,1.0000,SPEAKER_02
21.296,21.376,lo,0.3560,1.0000,SPEAKER_02
21.397,21.477,que,0.2110,1.0000,SPEAKER_02
21.497,21.779,nuestro,0.3020,0.9995,SPEAKER_02
21.92,22.242,padre,0.9210,0.9999,SPEAKER_02
22.524,22.846,escribiera,0.4650,0.9954,SPEAKER_02
22.886,23.771,está,0.5240,0.9997,SPEAKER_02
23.792,24.556,debidamente,0.5320,0.9989,SPEAKER_02
24.576,25.16,resguardado,0.7700,0.9995,SPEAKER_02
25.14,25.792,y,0.6070,0.9996,SPEAKER_02
25.894,26.098,aún,0.9350,0.9996,SPEAKER_02
26.241,26.323,no,0.9770,1.0000,SPEAKER_02
26.363,26.404,ha,0.5000,1.0000,SPEAKER_02
26.628,26.791,sido,0.7200,1.0000,SPEAKER_02
27.057,27.26,publicado.,0.0940,1.0000,SPEAKER_02
28.0,28.846,Finalizan,0.7600,0.8606,SPEAKER_02
28.866,29.37,indicando,0.8840,0.9997,SPEAKER_02
29.471,29.652,que,0.8830,0.9982,SPEAKER_02
30.256,30.579,queremos,0.8880,0.9395,SPEAKER_02
30.72,31.123,así,0.5600,0.9970,SPEAKER_02
31.304,31.888,contribuir,0.9550,0.9985,SPEAKER_02
31.908,31.928,a,0.0500,0.9957,SPEAKER_02
32.029,32.13,que,0.7590,1.0000,SPEAKER_02
32.19,32.231,la,0.9930,0.9998,SPEAKER_02
32.271,32.734,historia,0.8510,0.9997,SPEAKER_02
32.795,32.875,de,0.8670,0.9997,SPEAKER_02
32.915,33.177,nuestra,0.9310,0.9976,SPEAKER_02
33.258,33.56,patria,0.5930,0.9275,SPEAKER_02
33.54,34.292,se,0.7900,0.8334,SPEAKER_02
34.333,34.719,exhiba,0.7080,0.7841,SPEAKER_02
34.821,35.085,sobre,0.5580,0.9997,SPEAKER_02
35.105,35.451,bases,0.6730,0.9882,SPEAKER_02
35.573,36.02,verdaderas.,0.5110,0.9989,SPEAKER_02
